# MSTW_F2e+p_NLO_Q100.C
# i  x  result
0 1e-05 50.42315
1 1.122018e-05 49.01121
2 1.258925e-05 47.60572
3 1.412538e-05 46.21094
4 1.584893e-05 44.83119
5 1.778279e-05 43.47111
6 1.995262e-05 42.13648
7 2.238721e-05 40.8293
8 2.511886e-05 39.54443
9 2.818383e-05 38.28159
10 3.162278e-05 37.04029
11 3.548134e-05 35.81947
12 3.981072e-05 34.61627
13 4.466836e-05 33.4367
14 5.011872e-05 32.29206
15 5.623413e-05 31.17499
16 6.309573e-05 30.07616
17 7.079458e-05 29.0074
18 7.943282e-05 27.96494
19 8.912509e-05 26.93636
20 0.0001 25.94241
21 0.0001122018 24.9933
22 0.0001258925 24.05823
23 0.0001412538 23.14009
24 0.0001584893 22.24176
25 0.0001778279 21.36633
26 0.0001995262 20.51739
27 0.0002238721 19.6981
28 0.0002511886 18.90659
29 0.0002818383 18.14042
30 0.0003162278 17.39695
31 0.0003548134 16.67293
32 0.0003981072 15.96302
33 0.0004466836 15.27393
34 0.0005011872 14.61962
35 0.0005623413 13.99
36 0.0006309573 13.37331
37 0.0007079458 12.78139
38 0.0007943282 12.21089
39 0.0008912509 11.65133
40 0.001 11.11878
41 0.001122018 10.61972
42 0.001258925 10.13129
43 0.001412538 9.655229
44 0.001584893 9.193255
45 0.001778279 8.747163
46 0.001995262 8.31897
47 0.002238721 7.911102
48 0.002511886 7.52302
49 0.002818383 7.152503
50 0.003162278 6.797184
51 0.003548134 6.454282
52 0.003981072 6.119614
53 0.004466836 5.797734
54 0.005011872 5.498557
55 0.005623413 5.214793
56 0.006309573 4.938115
57 0.007079458 4.676275
58 0.007943282 4.426966
59 0.008912509 4.186658
60 0.01 3.959854
61 0.01122018 3.744508
62 0.01258925 3.537719
63 0.01412538 3.340386
64 0.01584893 3.152926
65 0.01778279 2.974569
66 0.01995262 2.804651
67 0.02238721 2.643146
68 0.02511886 2.489792
69 0.02818383 2.342875
70 0.03162278 2.20056
71 0.03548134 2.065853
72 0.03981072 1.938178
73 0.04466836 1.815978
74 0.05011872 1.698614
75 0.05623413 1.585264
76 0.06309573 1.475072
77 0.07079458 1.370344
78 0.07943282 1.269639
79 0.08912509 1.171768
80 0.1 1.07774
81 0.1122018 0.9867624
82 0.1258925 0.8986486
83 0.1412538 0.8133569
84 0.1584893 0.7305433
85 0.1778279 0.6501
86 0.1995262 0.5716479
87 0.2238721 0.4949596
88 0.2511886 0.4198693
89 0.2818383 0.3467572
90 0.3162278 0.2761304
91 0.3548134 0.2094706
92 0.3981072 0.1487865
93 0.4466836 0.09658763
94 0.5011872 0.05534603
95 0.5623413 0.02653347
96 0.6309573 0.009739296
97 0.7079458 0.002318553
98 0.7943282 0.000249459
99 0.8912509 3.700567e-06
