# MSTW_F2e-p_LO_Q100.C
# i  x  result
0 1e-05 50.89634
1 1.122018e-05 49.50598
2 1.258925e-05 48.1186
3 1.412538e-05 46.73967
4 1.584893e-05 45.37461
5 1.778279e-05 44.02888
6 1.995262e-05 42.70792
7 2.238721e-05 41.41162
8 2.511886e-05 40.13542
9 2.818383e-05 38.87864
10 3.162278e-05 37.64059
11 3.548134e-05 36.42061
12 3.981072e-05 35.218
13 4.466836e-05 34.04196
14 5.011872e-05 32.89852
15 5.623413e-05 31.77942
16 6.309573e-05 30.6789
17 7.079458e-05 29.60772
18 7.943282e-05 28.56063
19 8.912509e-05 27.53064
20 0.0001 26.53905
21 0.0001122018 25.58312
22 0.0001258925 24.63967
23 0.0001412538 23.71249
24 0.0001584893 22.80537
25 0.0001778279 21.92211
26 0.0001995262 21.06651
27 0.0002238721 20.24049
28 0.0002511886 19.44145
29 0.0002818383 18.66639
30 0.0003162278 17.91234
31 0.0003548134 17.17634
32 0.0003981072 16.45541
33 0.0004466836 15.75978
34 0.0005011872 15.09709
35 0.0005623413 14.45671
36 0.0006309573 13.83069
37 0.0007079458 13.22966
38 0.0007943282 12.64858
39 0.0008912509 12.0815
40 0.001 11.54456
41 0.001122018 11.03518
42 0.001258925 10.53602
43 0.001412538 10.04934
44 0.001584893 9.577373
45 0.001778279 9.122388
46 0.001995262 8.686637
47 0.002238721 8.271913
48 0.002511886 7.876826
49 0.002818383 7.498818
50 0.003162278 7.135328
51 0.003548134 6.783797
52 0.003981072 6.441665
53 0.004466836 6.115936
54 0.005011872 5.812095
55 0.005623413 5.522658
56 0.006309573 5.24192
57 0.007079458 4.976886
58 0.007943282 4.72436
59 0.008912509 4.482675
60 0.01 4.255438
61 0.01122018 4.039977
62 0.01258925 3.834248
63 0.01412538 3.63966
64 0.01584893 3.456248
65 0.01778279 3.283274
66 0.01995262 3.120564
67 0.02238721 2.968129
68 0.02511886 2.825042
69 0.02818383 2.689671
70 0.03162278 2.561097
71 0.03548134 2.442465
72 0.03981072 2.332255
73 0.04466836 2.228833
74 0.05011872 2.13135
75 0.05623413 2.03821
76 0.06309573 1.948454
77 0.07079458 1.864493
78 0.07943282 1.783093
79 0.08912509 1.702845
80 0.1 1.623394
81 0.1122018 1.543124
82 0.1258925 1.461237
83 0.1412538 1.376359
84 0.1584893 1.287622
85 0.1778279 1.194209
86 0.1995262 1.095492
87 0.2238721 0.991234
88 0.2511886 0.8816461
89 0.2818383 0.7674536
90 0.3162278 0.6500157
91 0.3548134 0.5317033
92 0.3981072 0.415653
93 0.4466836 0.3060443
94 0.5011872 0.2077428
95 0.5623413 0.125803
96 0.6309573 0.06431661
97 0.7079458 0.02506199
98 0.7943282 0.00592602
99 0.8912509 0.000411043
