# MSTW_F2e-p_NLO_Q100.C
# i  x  result
0 1e-05 50.45151
1 1.122018e-05 49.04046
2 1.258925e-05 47.63586
3 1.412538e-05 46.24199
4 1.584893e-05 44.86317
5 1.778279e-05 43.50405
6 1.995262e-05 42.17039
7 2.238721e-05 40.86423
8 2.511886e-05 39.5804
9 2.818383e-05 38.31864
10 3.162278e-05 37.07843
11 3.548134e-05 35.85872
12 3.981072e-05 34.65666
13 4.466836e-05 33.47825
14 5.011872e-05 32.33482
15 5.623413e-05 31.21898
16 6.309573e-05 30.1214
17 7.079458e-05 29.05392
18 7.943282e-05 28.01278
19 8.912509e-05 26.98552
20 0.0001 25.99295
21 0.0001122018 25.04525
22 0.0001258925 24.11162
23 0.0001412538 23.19492
24 0.0001584893 22.29806
25 0.0001778279 21.42411
26 0.0001995262 20.57669
27 0.0002238721 19.75895
28 0.0002511886 18.96901
29 0.0002818383 18.20444
30 0.0003162278 17.4626
31 0.0003548134 16.74022
32 0.0003981072 16.03196
33 0.0004466836 15.34455
34 0.0005011872 14.69195
35 0.0005623413 14.06406
36 0.0006309573 13.44912
37 0.0007079458 12.85897
38 0.0007943282 12.29026
39 0.0008912509 11.7325
40 0.001 11.20181
41 0.001122018 10.70465
42 0.001258925 10.21811
43 0.001412538 9.743945
44 0.001584893 9.283932
45 0.001778279 8.839889
46 0.001995262 8.413879
47 0.002238721 8.008298
48 0.002511886 7.62254
49 0.002818383 7.254429
50 0.003162278 6.901642
51 0.003548134 6.561442
52 0.003981072 6.229692
53 0.004466836 5.910975
54 0.005011872 5.61523
55 0.005623413 5.335225
56 0.006309573 5.062692
57 0.007079458 4.805463
58 0.007943282 4.561292
59 0.008912509 4.326628
60 0.01 4.106301
61 0.01122018 3.898306
62 0.01258925 3.699439
63 0.01412538 3.511195
64 0.01584893 3.333956
65 0.01778279 3.166812
66 0.01995262 3.009598
67 0.02238721 2.862481
68 0.02511886 2.72484
69 0.02818383 2.594892
70 0.03162278 2.470777
71 0.03548134 2.356245
72 0.03981072 2.250256
73 0.04466836 2.151013
74 0.05011872 2.057921
75 0.05623413 1.969223
76 0.06309573 1.883183
77 0.07079458 1.803147
78 0.07943282 1.726213
79 0.08912509 1.650132
80 0.1 1.575399
81 0.1122018 1.499891
82 0.1258925 1.4233
83 0.1412538 1.343953
84 0.1584893 1.261159
85 0.1778279 1.174002
86 0.1995262 1.081777
87 0.2238721 0.9841342
88 0.2511886 0.881083
89 0.2818383 0.7730818
90 0.3162278 0.6610717
91 0.3548134 0.5470806
92 0.3981072 0.4337453
93 0.4466836 0.3249425
94 0.5011872 0.2253223
95 0.5623413 0.140144
96 0.6309573 0.07414521
97 0.7079458 0.03025086
98 0.7943282 0.007652193
99 0.8912509 0.0005961663
