# MSTW_F2e-p_NNLO_Q100.C
# i  x  result
0 1e-05 49.02275
1 1.122018e-05 47.66641
2 1.258925e-05 46.31565
3 1.412538e-05 44.97467
4 1.584893e-05 43.64758
5 1.778279e-05 42.33864
6 1.995262e-05 41.05314
7 2.238721e-05 39.7936
8 2.511886e-05 38.55476
9 2.818383e-05 37.33655
10 3.162278e-05 36.13876
11 3.548134e-05 34.96082
12 3.981072e-05 33.80009
13 4.466836e-05 32.66039
14 5.011872e-05 31.55393
15 5.623413e-05 30.47435
16 6.309573e-05 29.41217
17 7.079458e-05 28.37845
18 7.943282e-05 27.37074
19 8.912509e-05 26.37597
20 0.0001 25.41142
21 0.0001122018 24.49208
22 0.0001258925 23.58617
23 0.0001412538 22.69656
24 0.0001584893 21.82605
25 0.0001778279 20.97747
26 0.0001995262 20.15407
27 0.0002238721 19.35899
28 0.0002511886 18.59051
29 0.0002818383 17.84637
30 0.0003162278 17.1243
31 0.0003548134 16.42148
32 0.0003981072 15.73288
33 0.0004466836 15.06277
34 0.0005011872 14.42642
35 0.0005623413 13.81462
36 0.0006309573 13.2153
37 0.0007079458 12.63954
38 0.0007943282 12.08528
39 0.0008912509 11.54145
40 0.001 11.02176
41 0.001122018 10.53609
42 0.001258925 10.06071
43 0.001412538 9.597363
44 0.001584893 9.147776
45 0.001778279 8.713692
46 0.001995262 8.296941
47 0.002238721 7.899812
48 0.002511886 7.521846
49 0.002818383 7.161
50 0.003162278 6.815167
51 0.003548134 6.481922
52 0.003981072 6.15733
53 0.004466836 5.844304
54 0.005011872 5.553744
55 0.005623413 5.27896
56 0.006309573 5.011454
57 0.007079458 4.758552
58 0.007943282 4.518766
59 0.008912509 4.287964
60 0.01 4.071013
61 0.01122018 3.866397
62 0.01258925 3.670645
63 0.01412538 3.485188
64 0.01584893 3.31052
65 0.01778279 3.145709
66 0.01995262 2.990583
67 0.02238721 2.845278
68 0.02511886 2.709323
69 0.02818383 2.581052
70 0.03162278 2.458423
71 0.03548134 2.345042
72 0.03981072 2.240087
73 0.04466836 2.141712
74 0.05011872 2.049441
75 0.05623413 1.961582
76 0.06309573 1.876208
77 0.07079458 1.796616
78 0.07943282 1.720233
79 0.08912509 1.644486
80 0.1 1.570122
81 0.1122018 1.494845
82 0.1258925 1.418525
83 0.1412538 1.339375
84 0.1584893 1.256806
85 0.1778279 1.16989
86 0.1995262 1.077956
87 0.2238721 0.9806949
88 0.2511886 0.8781361
89 0.2818383 0.7707648
90 0.3162278 0.6594769
91 0.3548134 0.546296
92 0.3981072 0.4337607
93 0.4466836 0.3256955
94 0.5011872 0.2266095
95 0.5623413 0.1416713
96 0.6309573 0.07555283
97 0.7079458 0.03122698
98 0.7943282 0.008085561
99 0.8912509 0.0006623044
