# MSTW_F3e+p_LO_Q100.C
# i  x  result
0 1e-05 0.00248211
1 1.122018e-05 0.002414663
2 1.258925e-05 0.002347322
3 1.412538e-05 0.002280349
4 1.584893e-05 0.002214009
5 1.778279e-05 0.002148566
6 1.995262e-05 0.002084282
7 2.238721e-05 0.002021145
8 2.511886e-05 0.001958932
9 2.818383e-05 0.00189762
10 3.162278e-05 0.001837183
11 3.548134e-05 0.001777599
12 3.981072e-05 0.001718844
13 4.466836e-05 0.001661346
14 5.011872e-05 0.001605385
15 5.623413e-05 0.001550582
16 6.309573e-05 0.001496676
17 7.079458e-05 0.001444177
18 7.943282e-05 0.001392827
19 8.912509e-05 0.001342284
20 0.0001 0.001293587
21 0.0001122018 0.001246611
22 0.0001258925 0.001200236
23 0.0001412538 0.001154646
24 0.0001584893 0.001110025
25 0.0001778279 0.001066553
26 0.0001995262 0.001024416
27 0.0002238721 0.0009837055
28 0.0002511886 0.0009442939
29 0.0002818383 0.0009060391
30 0.0003162278 0.0008687984
31 0.0003548134 0.0008324293
32 0.0003981072 0.0007967894
33 0.0004466836 0.0007623753
34 0.0005011872 0.0007295518
35 0.0005623413 0.0006978063
36 0.0006309573 0.0006667546
37 0.0007079458 0.0006369106
38 0.0007943282 0.0006080313
39 0.0008912509 0.0005798322
40 0.001 0.0005530864
41 0.001122018 0.0005276621
42 0.001258925 0.0005027303
43 0.001412538 0.0004783978
44 0.001584893 0.0004547711
45 0.001778279 0.0004319569
46 0.001995262 0.0004100618
47 0.002238721 0.000389175
48 0.002511886 0.000369232
49 0.002818383 0.000350106
50 0.003162278 0.0003316702
51 0.003548134 0.0003137981
52 0.003981072 0.0002963628
53 0.004466836 0.0002796987
54 0.005011872 0.000264067
55 0.005623413 0.0002491083
56 0.006309573 0.0002345482
57 0.007079458 0.0002207175
58 0.007943282 0.0002074621
59 0.008912509 0.0001947013
60 0.01 0.0001825991
61 0.01122018 0.000171031
62 0.01258925 0.0001599042
63 0.01412538 0.0001492768
64 0.01584893 0.0001391483
65 0.01778279 0.0001294879
66 0.01995262 0.0001202903
67 0.02238721 0.0001115521
68 0.02511886 0.000103233
69 0.02818383 9.527101e-05
70 0.03162278 8.763135e-05
71 0.03548134 8.044699e-05
72 0.03981072 7.369748e-05
73 0.04466836 6.730823e-05
74 0.05011872 6.122407e-05
75 0.05623413 5.542138e-05
76 0.06309573 4.990023e-05
77 0.07079458 4.477671e-05
78 0.07943282 3.994628e-05
79 0.08912509 3.538082e-05
80 0.1 3.112345e-05
81 0.1122018 2.713762e-05
82 0.1258925 2.341415e-05
83 0.1412538 1.997318e-05
84 0.1584893 1.6804e-05
85 0.1778279 1.391955e-05
86 0.1995262 1.13226e-05
87 0.2238721 9.016276e-06
88 0.2511886 7.003228e-06
89 0.2818383 5.281595e-06
90 0.3162278 3.843187e-06
91 0.3548134 2.671265e-06
92 0.3981072 1.748992e-06
93 0.4466836 1.054139e-06
94 0.5011872 5.644847e-07
95 0.5623413 2.53817e-07
96 0.6309573 8.707606e-08
97 0.7079458 1.900869e-08
98 0.7943282 1.737964e-09
99 0.8912509 3.477192e-11
