# MSTW_F3e+p_NNLO_Q100.C
# i  x  result
0 1e-05 7.562037
1 1.122018e-05 7.307693
2 1.258925e-05 7.058062
3 1.412538e-05 6.813601
4 1.584893e-05 6.57459
5 1.778279e-05 6.341085
6 1.995262e-05 6.112968
7 2.238721e-05 5.890037
8 2.511886e-05 5.672209
9 2.818383e-05 5.459532
10 3.162278e-05 5.252134
11 3.548134e-05 5.050265
12 3.981072e-05 4.854108
13 4.466836e-05 4.663583
14 5.011872e-05 4.478293
15 5.623413e-05 4.298146
16 6.309573e-05 4.123285
17 7.079458e-05 3.953665
18 7.943282e-05 3.789154
19 8.912509e-05 3.629697
20 0.0001 3.474948
21 0.0001122018 3.324439
22 0.0001258925 3.178385
23 0.0001412538 3.037065
24 0.0001584893 2.900626
25 0.0001778279 2.769041
26 0.0001995262 2.642132
27 0.0002238721 2.519622
28 0.0002511886 2.401276
29 0.0002818383 2.286955
30 0.0003162278 2.176662
31 0.0003548134 2.070483
32 0.0003981072 1.968543
33 0.0004466836 1.870747
34 0.0005011872 1.77669
35 0.0005623413 1.6862
36 0.0006309573 1.599325
37 0.0007079458 1.515963
38 0.0007943282 1.43598
39 0.0008912509 1.359355
40 0.001 1.285822
41 0.001122018 1.215018
42 0.001258925 1.146997
43 0.001412538 1.081886
44 0.001584893 1.019735
45 0.001778279 0.9605116
46 0.001995262 0.9040944
47 0.002238721 0.8502828
48 0.002511886 0.7988818
49 0.002818383 0.7497606
50 0.003162278 0.7028717
51 0.003548134 0.6582312
52 0.003981072 0.6159113
53 0.004466836 0.5758256
54 0.005011872 0.5377221
55 0.005623413 0.5014647
56 0.006309573 0.4670584
57 0.007079458 0.4344387
58 0.007943282 0.4035084
59 0.008912509 0.3742331
60 0.01 0.346513
61 0.01122018 0.3202742
62 0.01258925 0.2954862
63 0.01412538 0.2720987
64 0.01584893 0.2500539
65 0.01778279 0.2292903
66 0.01995262 0.2097544
67 0.02238721 0.1913913
68 0.02511886 0.1741631
69 0.02818383 0.1580336
70 0.03162278 0.1429993
71 0.03548134 0.129018
72 0.03981072 0.1159986
73 0.04466836 0.1039031
74 0.05011872 0.09271795
75 0.05623413 0.08242436
76 0.06309573 0.07300161
77 0.07079458 0.06439208
78 0.07943282 0.05654196
79 0.08912509 0.04941793
80 0.1 0.04296986
81 0.1122018 0.03714998
82 0.1258925 0.03191215
83 0.1412538 0.02720879
84 0.1584893 0.02298851
85 0.1778279 0.01920642
86 0.1995262 0.01582272
87 0.2238721 0.01280329
88 0.2511886 0.0101247
89 0.2818383 0.007773798
90 0.3162278 0.00574717
91 0.3548134 0.004047869
92 0.3981072 0.002679589
93 0.4466836 0.001637366
94 0.5011872 0.0009016541
95 0.5623413 0.0004320998
96 0.6309573 0.000170326
97 0.7079458 4.97084e-05
98 0.7943282 8.387702e-06
99 0.8912509 3.739872e-07
