# NNPDF_F2e+p_LO_Q100.C
# i  x  result
0 1e-05 59.30522
1 1.122018e-05 56.6699
2 1.258925e-05 54.18841
3 1.412538e-05 51.85455
4 1.584893e-05 49.64352
5 1.778279e-05 47.55393
6 1.995262e-05 45.59055
7 2.238721e-05 43.73217
8 2.511886e-05 41.9701
9 2.818383e-05 40.31524
10 3.162278e-05 38.74607
11 3.548134e-05 37.24507
12 3.981072e-05 35.8256
13 4.466836e-05 34.47347
14 5.011872e-05 33.16981
15 5.623413e-05 31.92076
16 6.309573e-05 30.72377
17 7.079458e-05 29.56774
18 7.943282e-05 28.45282
19 8.912509e-05 27.38041
20 0.0001 26.34308
21 0.0001122018 25.33784
22 0.0001258925 24.36784
23 0.0001412538 23.42858
24 0.0001584893 22.51662
25 0.0001778279 21.63423
26 0.0001995262 20.77973
27 0.0002238721 19.95096
28 0.0002511886 19.14907
29 0.0002818383 18.37315
30 0.0003162278 17.62135
31 0.0003548134 16.89411
32 0.0003981072 16.19125
33 0.0004466836 15.51105
34 0.0005011872 14.85316
35 0.0005623413 14.21814
36 0.0006309573 13.60441
37 0.0007079458 13.01104
38 0.0007943282 12.43896
39 0.0008912509 11.88683
40 0.001 11.35338
41 0.001122018 10.83947
42 0.001258925 10.34426
43 0.001412538 9.866348
44 0.001584893 9.40627
45 0.001778279 8.96368
46 0.001995262 8.537212
47 0.002238721 8.126771
48 0.002511886 7.732648
49 0.002818383 7.353554
50 0.003162278 6.988877
51 0.003548134 6.639285
52 0.003981072 6.303683
53 0.004466836 5.981156
54 0.005011872 5.672443
55 0.005623413 5.376704
56 0.006309573 5.092811
57 0.007079458 4.821281
58 0.007943282 4.561731
59 0.008912509 4.313089
60 0.01 4.075445
61 0.01122018 3.848871
62 0.01258925 3.632339
63 0.01412538 3.42549
64 0.01584893 3.228788
65 0.01778279 3.041252
66 0.01995262 2.862184
67 0.02238721 2.692231
68 0.02511886 2.530547
69 0.02818383 2.376148
70 0.03162278 2.229501
71 0.03548134 2.090276
72 0.03981072 1.957686
73 0.04466836 1.832235
74 0.05011872 1.71353
75 0.05623413 1.60001
76 0.06309573 1.491569
77 0.07079458 1.388701
78 0.07943282 1.28904
79 0.08912509 1.191552
80 0.1 1.098006
81 0.1122018 1.006349
82 0.1258925 0.9167138
83 0.1412538 0.8288523
84 0.1584893 0.7423463
85 0.1778279 0.6571204
86 0.1995262 0.5732862
87 0.2238721 0.4913188
88 0.2511886 0.4119542
89 0.2818383 0.3364007
90 0.3162278 0.2664948
91 0.3548134 0.2041755
92 0.3981072 0.1505832
93 0.4466836 0.1056714
94 0.5011872 0.06880756
95 0.5623413 0.04179435
96 0.6309573 0.02286215
97 0.7079458 0.01052808
98 0.7943282 0.004042493
99 0.8912509 0.0006262699
