# NNPDF_F2e+p_NLO_Q100.C
# i  x  result
0 1e-05 58.55935
1 1.122018e-05 55.95461
2 1.258925e-05 53.49637
3 1.412538e-05 51.18601
4 1.584893e-05 48.9964
5 1.778279e-05 46.92001
6 1.995262e-05 44.9702
7 2.238721e-05 43.12506
8 2.511886e-05 41.36939
9 2.818383e-05 39.72197
10 3.162278e-05 38.16228
11 3.548134e-05 36.66648
12 3.981072e-05 35.25198
13 4.466836e-05 33.90774
14 5.011872e-05 32.61098
15 5.623413e-05 31.36683
16 6.309573e-05 30.17646
17 7.079458e-05 29.02756
18 7.943282e-05 27.91803
19 8.912509e-05 26.85236
20 0.0001 25.82288
21 0.0001122018 24.82437
22 0.0001258925 23.86193
23 0.0001412538 22.93131
24 0.0001584893 22.02771
25 0.0001778279 21.1539
26 0.0001995262 20.3086
27 0.0002238721 19.48909
28 0.0002511886 18.69646
29 0.0002818383 17.93029
30 0.0003162278 17.18838
31 0.0003548134 16.47082
32 0.0003981072 15.77802
33 0.0004466836 15.10811
34 0.0005011872 14.46017
35 0.0005623413 13.83535
36 0.0006309573 13.23205
37 0.0007079458 12.64879
38 0.0007943282 12.08688
39 0.0008912509 11.54514
40 0.001 11.02183
41 0.001122018 10.51794
42 0.001258925 10.03289
43 0.001412538 9.565015
44 0.001584893 9.114665
45 0.001778279 8.681914
46 0.001995262 8.265256
47 0.002238721 7.864178
48 0.002511886 7.479467
49 0.002818383 7.109804
50 0.003162278 6.754118
51 0.003548134 6.41345
52 0.003981072 6.086791
53 0.004466836 5.772844
54 0.005011872 5.472533
55 0.005623413 5.185218
56 0.006309573 4.909501
57 0.007079458 4.645832
58 0.007943282 4.394131
59 0.008912509 4.15319
60 0.01 3.922833
61 0.01122018 3.70352
62 0.01258925 3.494176
63 0.01412538 3.294089
64 0.01584893 3.104099
65 0.01778279 2.923266
66 0.01995262 2.750569
67 0.02238721 2.586896
68 0.02511886 2.431544
69 0.02818383 2.283283
70 0.03162278 2.142562
71 0.03548134 2.009233
72 0.03981072 1.882349
73 0.04466836 1.762369
74 0.05011872 1.6493
75 0.05623413 1.541411
76 0.06309573 1.438158
77 0.07079458 1.340895
78 0.07943282 1.247142
79 0.08912509 1.154837
80 0.1 1.066755
81 0.1122018 0.9803273
82 0.1258925 0.8957905
83 0.1412538 0.8129549
84 0.1584893 0.7312776
85 0.1778279 0.6506249
86 0.1995262 0.5709694
87 0.2238721 0.4926764
88 0.2511886 0.4163046
89 0.2818383 0.3428504
90 0.3162278 0.2740708
91 0.3548134 0.2120764
92 0.3981072 0.1582402
93 0.4466836 0.1127758
94 0.5011872 0.07461446
95 0.5623413 0.04606979
96 0.6309573 0.02589989
97 0.7079458 0.01222529
98 0.7943282 0.0049523
99 0.8912509 0.000876417
