# NNPDF_F2e+p_NNLO_Q100.C
# i  x  result
0 1e-05 57.09873
1 1.122018e-05 54.55661
2 1.258925e-05 52.15678
3 1.412538e-05 49.90321
4 1.584893e-05 47.76978
5 1.778279e-05 45.74572
6 1.995262e-05 43.84651
7 2.238721e-05 42.0512
8 2.511886e-05 40.34235
9 2.818383e-05 38.73968
10 3.162278e-05 37.22416
11 3.548134e-05 35.77073
12 3.981072e-05 34.3961
13 4.466836e-05 33.09101
14 5.011872e-05 31.83267
15 5.623413e-05 30.6245
16 6.309573e-05 29.46899
17 7.079458e-05 28.35425
18 7.943282e-05 27.27688
19 8.912509e-05 26.24222
20 0.0001 25.24297
21 0.0001122018 24.27325
22 0.0001258925 23.33837
23 0.0001412538 22.43444
24 0.0001584893 21.55652
25 0.0001778279 20.70721
26 0.0001995262 19.8855
27 0.0002238721 19.08871
28 0.0002511886 18.31774
29 0.0002818383 17.57236
30 0.0003162278 16.85047
31 0.0003548134 16.15195
32 0.0003981072 15.47737
33 0.0004466836 14.825
34 0.0005011872 14.1937
35 0.0005623413 13.58477
36 0.0006309573 12.99672
37 0.0007079458 12.42796
38 0.0007943282 11.87982
39 0.0008912509 11.35125
40 0.001 10.8405
41 0.001122018 10.34846
42 0.001258925 9.874706
43 0.001412538 9.417618
44 0.001584893 8.977395
45 0.001778279 8.554255
46 0.001995262 8.146781
47 0.002238721 7.754298
48 0.002511886 7.377696
49 0.002818383 7.015751
50 0.003162278 6.667304
51 0.003548134 6.333408
52 0.003981072 6.01316
53 0.004466836 5.70524
54 0.005011872 5.410514
55 0.005623413 5.128453
56 0.006309573 4.857688
57 0.007079458 4.598559
58 0.007943282 4.351095
59 0.008912509 4.114142
60 0.01 3.887378
61 0.01122018 3.67139
62 0.01258925 3.465179
63 0.01412538 3.267891
64 0.01584893 3.080432
65 0.01778279 2.901963
66 0.01995262 2.731377
67 0.02238721 2.569553
68 0.02511886 2.415916
69 0.02818383 2.269223
70 0.03162278 2.129819
71 0.03548134 1.997697
72 0.03981072 1.871922
73 0.04466836 1.752754
74 0.05011872 1.640444
75 0.05623413 1.533322
76 0.06309573 1.430501
77 0.07079458 1.333585
78 0.07943282 1.240257
79 0.08912509 1.148218
80 0.1 1.060347
81 0.1122018 0.9740165
82 0.1258925 0.8895734
83 0.1412538 0.8068437
84 0.1584893 0.7253341
85 0.1778279 0.6449547
86 0.1995262 0.5657034
87 0.2238721 0.4879782
88 0.2511886 0.4123667
89 0.2818383 0.3398272
90 0.3162278 0.2720853
91 0.3548134 0.2112132
92 0.3981072 0.15852
93 0.4466836 0.1140572
94 0.5011872 0.07655798
95 0.5623413 0.04812866
96 0.6309573 0.02769617
97 0.7079458 0.01340009
98 0.7943282 0.005509775
99 0.8912509 0.001027321
