# NNPDF_F2e-p_LO_Q100.C
# i  x  result
0 1e-05 59.31341
1 1.122018e-05 56.67851
2 1.258925e-05 54.19747
3 1.412538e-05 51.86407
4 1.584893e-05 49.65355
5 1.778279e-05 47.56449
6 1.995262e-05 45.60169
7 2.238721e-05 43.74392
8 2.511886e-05 41.9825
9 2.818383e-05 40.32834
10 3.162278e-05 38.75991
11 3.548134e-05 37.25972
12 3.981072e-05 35.84109
13 4.466836e-05 34.48986
14 5.011872e-05 33.18717
15 5.623413e-05 31.93915
16 6.309573e-05 30.74324
17 7.079458e-05 29.58838
18 7.943282e-05 28.47469
19 8.912509e-05 27.40358
20 0.0001 26.36765
21 0.0001122018 25.36389
22 0.0001258925 24.39546
23 0.0001412538 23.45786
24 0.0001584893 22.54766
25 0.0001778279 21.66713
26 0.0001995262 20.81459
27 0.0002238721 19.98791
28 0.0002511886 19.18821
29 0.0002818383 18.41461
30 0.0003162278 17.66528
31 0.0003548134 16.94064
32 0.0003981072 16.24054
33 0.0004466836 15.56328
34 0.0005011872 14.90851
35 0.0005623413 14.27678
36 0.0006309573 13.66654
37 0.0007079458 13.07688
38 0.0007943282 12.5087
39 0.0008912509 11.9607
40 0.001 11.43163
41 0.001122018 10.92235
42 0.001258925 10.43199
43 0.001412538 9.959164
44 0.001584893 9.504389
45 0.001778279 9.067329
46 0.001995262 8.646617
47 0.002238721 8.242141
48 0.002511886 7.8542
49 0.002818383 7.481571
50 0.003162278 7.123669
51 0.003548134 6.781131
52 0.003981072 6.452913
53 0.004466836 6.138144
54 0.005011872 5.837529
55 0.005623413 5.550266
56 0.006309573 5.275282
57 0.007079458 5.01308
58 0.007943282 4.76328
59 0.008912509 4.524832
60 0.01 4.297911
61 0.01122018 4.082517
62 0.01258925 3.877409
63 0.01412538 3.682142
64 0.01584893 3.497271
65 0.01778279 3.321681
66 0.01995262 3.154536
67 0.02238721 2.996482
68 0.02511886 2.846842
69 0.02818383 2.704797
70 0.03162278 2.570757
71 0.03548134 2.444412
72 0.03981072 2.325061
73 0.04466836 2.2131
74 0.05011872 2.108232
75 0.05623413 2.009197
76 0.06309573 1.916086
77 0.07079458 1.829253
78 0.07943282 1.746176
79 0.08912509 1.666003
80 0.1 1.590316
81 0.1122018 1.515748
82 0.1258925 1.440542
83 0.1412538 1.363059
84 0.1584893 1.281459
85 0.1778279 1.194098
86 0.1995262 1.099964
87 0.2238721 0.998652
88 0.2511886 0.890368
89 0.2818383 0.7757483
90 0.3162278 0.656101
91 0.3548134 0.5336223
92 0.3981072 0.41207
93 0.4466836 0.2970251
94 0.5011872 0.1961024
95 0.5623413 0.1143928
96 0.6309573 0.0573881
97 0.7079458 0.02376585
98 0.7943282 0.006772529
99 0.8912509 0.001014303
