# NNPDF_F2e-p_NLO_Q100.C
# i  x  result
0 1e-05 58.56817
1 1.122018e-05 55.96389
2 1.258925e-05 53.50612
3 1.412538e-05 51.19628
4 1.584893e-05 49.00722
5 1.778279e-05 46.9314
6 1.995262e-05 44.98221
7 2.238721e-05 43.13772
8 2.511886e-05 41.38277
9 2.818383e-05 39.73609
10 3.162278e-05 38.17719
11 3.548134e-05 36.68225
12 3.981072e-05 35.26866
13 4.466836e-05 33.92538
14 5.011872e-05 32.62964
15 5.623413e-05 31.38659
16 6.309573e-05 30.19736
17 7.079458e-05 29.0497
18 7.943282e-05 27.94148
19 8.912509e-05 26.87719
20 0.0001 25.84917
21 0.0001122018 24.85222
22 0.0001258925 23.89143
23 0.0001412538 22.96255
24 0.0001584893 22.0608
25 0.0001778279 21.18893
26 0.0001995262 20.34569
27 0.0002238721 19.52835
28 0.0002511886 18.73801
29 0.0002818383 17.97425
30 0.0003162278 17.23489
31 0.0003548134 16.52004
32 0.0003981072 15.83008
33 0.0004466836 15.1632
34 0.0005011872 14.51845
35 0.0005623413 13.89701
36 0.0006309573 13.29729
37 0.0007079458 12.71781
38 0.0007943282 12.15988
39 0.0008912509 11.62233
40 0.001 11.10346
41 0.001122018 10.60425
42 0.001258925 10.12413
43 0.001412538 9.661396
44 0.001584893 9.216405
45 0.001778279 8.789235
46 0.001995262 8.378381
47 0.002238721 7.98331
48 0.002511886 7.604799
49 0.002818383 7.241594
50 0.003162278 6.892671
51 0.003548134 6.559019
52 0.003981072 6.239674
53 0.004466836 5.933398
54 0.005011872 5.641066
55 0.005623413 5.362067
56 0.006309573 5.095067
57 0.007079458 4.840502
58 0.007943282 4.598284
59 0.008912509 4.367218
60 0.01 4.147238
61 0.01122018 3.938772
62 0.01258925 3.74052
63 0.01412538 3.551619
64 0.01584893 3.373056
65 0.01778279 3.203753
66 0.01995262 3.042521
67 0.02238721 2.890189
68 0.02511886 2.746217
69 0.02818383 2.609569
70 0.03162278 2.480634
71 0.03548134 2.359254
72 0.03981072 2.244581
73 0.04466836 2.13694
74 0.05011872 2.036355
75 0.05623413 1.941411
76 0.06309573 1.851843
77 0.07079458 1.768888
78 0.07943282 1.689914
79 0.08912509 1.613044
80 0.1 1.541431
81 0.1122018 1.471149
82 0.1258925 1.400783
83 0.1412538 1.328732
84 0.1584893 1.253155
85 0.1778279 1.172319
86 0.1995262 1.085057
87 0.2238721 0.9908226
88 0.2511886 0.8896288
89 0.2818383 0.7818084
90 0.3162278 0.6683169
91 0.3548134 0.5506876
92 0.3981072 0.4320455
93 0.4466836 0.31718
94 0.5011872 0.2140594
95 0.5623413 0.1280512
96 0.6309573 0.06590765
97 0.7079458 0.02832025
98 0.7943282 0.008493758
99 0.8912509 0.001381132
