# NNPDF_F2e-p_NNLO_Q100.C
# i  x  result
0 1e-05 57.1075
1 1.122018e-05 54.56582
2 1.258925e-05 52.16648
3 1.412538e-05 49.91342
4 1.584893e-05 47.78052
5 1.778279e-05 45.75705
6 1.995262e-05 43.85845
7 2.238721e-05 42.06379
8 2.511886e-05 40.35565
9 2.818383e-05 38.75373
10 3.162278e-05 37.239
11 3.548134e-05 35.78643
12 3.981072e-05 34.4127
13 4.466836e-05 33.10856
14 5.011872e-05 31.85125
15 5.623413e-05 30.64417
16 6.309573e-05 29.48981
17 7.079458e-05 28.3763
18 7.943282e-05 27.30023
19 8.912509e-05 26.26695
20 0.0001 25.26917
21 0.0001122018 24.301
22 0.0001258925 23.36777
23 0.0001412538 22.46558
24 0.0001584893 21.58951
25 0.0001778279 20.74214
26 0.0001995262 19.92248
27 0.0002238721 19.12786
28 0.0002511886 18.35918
29 0.0002818383 17.61622
30 0.0003162278 16.89689
31 0.0003548134 16.20106
32 0.0003981072 15.52933
33 0.0004466836 14.87998
34 0.0005011872 14.25189
35 0.0005623413 13.64633
36 0.0006309573 13.06186
37 0.0007079458 12.49689
38 0.0007943282 11.95272
39 0.0008912509 11.42834
40 0.001 10.92202
41 0.001122018 10.43467
42 0.001258925 9.965846
43 0.001412538 9.513901
44 0.001584893 9.079035
45 0.001778279 8.661476
46 0.001995262 8.259809
47 0.002238721 7.873328
48 0.002511886 7.502924
49 0.002818383 7.14744
50 0.003162278 6.805753
51 0.003548134 6.478869
52 0.003981072 6.165935
53 0.004466836 5.865685
54 0.005011872 5.578934
55 0.005623413 5.305187
56 0.006309573 5.043134
57 0.007079458 4.793101
58 0.007943282 4.555112
59 0.008912509 4.328028
60 0.01 4.111621
61 0.01122018 3.906468
62 0.01258925 3.711345
63 0.01412538 3.525239
64 0.01584893 3.349207
65 0.01778279 3.182273
66 0.01995262 3.023189
67 0.02238721 2.872751
68 0.02511886 2.730523
69 0.02818383 2.59548
70 0.03162278 2.467941
71 0.03548134 2.347833
72 0.03981072 2.234331
73 0.04466836 2.127666
74 0.05011872 2.027969
75 0.05623413 1.933856
76 0.06309573 1.844854
77 0.07079458 1.762409
78 0.07943282 1.684036
79 0.08912509 1.607494
80 0.1 1.536196
81 0.1122018 1.466093
82 0.1258925 1.395903
83 0.1412538 1.324015
84 0.1584893 1.248622
85 0.1778279 1.168017
86 0.1995262 1.081054
87 0.2238721 0.9872117
88 0.2511886 0.8865265
89 0.2818383 0.7793345
90 0.3162278 0.6666114
91 0.3548134 0.5498868
92 0.3981072 0.4322344
93 0.4466836 0.3181849
94 0.5011872 0.2155874
95 0.5623413 0.1296812
96 0.6309573 0.06721774
97 0.7079458 0.02911695
98 0.7943282 0.00886867
99 0.8912509 0.001512898
