#  ./merge-energies.sh
# {sqrts, center, min, max}
# LO cross-section
1 0.0047643356 0.0040067125 0.0057890184
7 1.3179313 1.2552811 1.3853554
10 2.5855987 2.5094456 2.6590106
13 4.0988289 4.0321189 4.149804
20 8.2888877 8.1847571 8.3318646
30 15.315559 14.78273 15.70142
60 40.127483 37.309073 42.49585
80 58.294376 53.393568 62.545266
100 77.173338 69.883055 83.62801


# NLO cross-section
1 0.0051352657 0.0049030371 0.0052699075
7 1.2898471 1.2852784 1.296974
10 2.5138741 2.5020326 2.5238294
13 3.9701022 3.9471319 3.9950597
20 7.991136 7.9270702 8.0743066
30 14.720966 14.562516 14.926187
60 38.458849 37.748097 39.209563
80 55.839084 54.567949 57.051745
100 73.904927 71.967845 75.634404


# NNLO cross-section
1 0.005164313 0.0051083678 0.0051773323
7 1.2807331 1.2773683 1.283688
10 2.4923784 2.4858485 2.5005701
13 3.9316101 3.9211495 3.9470459
20 7.8977794 7.8725116 7.9361626
30 14.519935 14.465615 14.601513
60 37.797944 37.619231 38.051103
80 54.796413 54.514045 55.183233
100 72.439561 72.043266 72.968505


# N3LO cross-section
1 0.0051659324 0.0051535541 0.0051659324
7 1.2800529 1.2799601 1.2812352
10 2.4906705 2.4904224 2.4934975
13 3.9284357 3.9279379 3.9334062
20 7.8898271 7.8886994 7.9011396
30 14.502864 14.500278 14.525024
60 37.745303 37.736248 37.804813
80 54.717314 54.702011 54.80212
100 72.333986 72.31121 72.442818


