# create_bands_n3lo.py -sqrts 40
# LO cross-section {center, min, max}
23.116567 21.963371 24.024878


# LO ptH {ptmin, ptmax, center, min, max}
0.0 10.0 0.026239789 0.023831365 0.028273835
10.0 20.0 0.076114749 0.069284656 0.081884505
20.0 30.0 0.11860211 0.10840702 0.12710224
30.0 40.0 0.15039166 0.13817587 0.16054447
40.0 50.0 0.17059099 0.15768298 0.18123007
50.0 60.0 0.17954796 0.16694129 0.18992234
60.0 70.0 0.17915881 0.1676299 0.1884512
70.0 80.0 0.17134898 0.16124728 0.17940767
80.0 90.0 0.15932185 0.15074415 0.16606983
90.0 100.0 0.1444433 0.13740834 0.14989842
100.0 110.0 0.12850201 0.12286199 0.13286796
110.0 120.0 0.11306921 0.10865013 0.11636885
120.0 130.0 0.09821191 0.094765323 0.10080344
130.0 140.0 0.084680844 0.082037664 0.086448504
140.0 150.0 0.072505804 0.0705518 0.073914037
150.0 160.0 0.061980988 0.06049323 0.062968185
160.0 170.0 0.052795869 0.051739658 0.053413345
170.0 180.0 0.044913654 0.044134786 0.045376266
180.0 190.0 0.038231453 0.037679404 0.038563613
190.0 200.0 0.032530428 0.03219149 0.032606366
200.0 210.0 0.0276622 0.027447397 0.027755133
210.0 220.0 0.023631108 0.023473531 0.023631108
220.0 230.0 0.020142942 0.020091522 0.020142942
230.0 240.0 0.017262847 0.017176095 0.017262847
240.0 250.0 0.014763439 0.014731655 0.01482078
250.0 260.0 0.012751798 0.012687338 0.012751798
260.0 270.0 0.011012 0.01084564 0.011065309
270.0 280.0 0.0094578709 0.0093904447 0.0095789773
280.0 290.0 0.0082227527 0.0081095849 0.0082667525
290.0 300.0 0.0071342796 0.007041863 0.0072300873
300.0 310.0 0.0062249417 0.0061237548 0.0062906493
310.0 320.0 0.0054297213 0.0053156359 0.0055088576
320.0 330.0 0.004738619 0.0046534936 0.0048339151
330.0 340.0 0.0041548732 0.0040749591 0.0042365627
340.0 350.0 0.0036550928 0.0035740283 0.0037272541
350.0 360.0 0.0032234786 0.003154678 0.0032918359
360.0 370.0 0.0028510516 0.0027823415 0.0029140669
370.0 380.0 0.0025183123 0.0024656985 0.002582564
380.0 390.0 0.0022452543 0.002192941 0.0022900714
390.0 400.0 0.0019994804 0.0019305441 0.002044162
400.0 410.0 0.001782085 0.0017298518 0.0018306364
410.0 420.0 0.001574222 0.0015420904 0.0016388421
420.0 430.0 0.0014208847 0.0013723707 0.001457755
430.0 440.0 0.001275705 0.0012314591 0.0013108348
440.0 450.0 0.0011420138 0.0011125029 0.0011781876
450.0 460.0 0.0010259371 0.00099139627 0.0010630512
460.0 470.0 0.00092763733 0.00089533517 0.000967028
470.0 480.0 0.00083888092 0.00080057643 0.00086048701
480.0 490.0 0.00075107162 0.00072576121 0.00078287014
490.0 500.0 0.00068609617 0.00065441742 0.0007154376
500.0 510.0 0.000616611 0.00059719536 0.00064455557
510.0 520.0 0.00056120353 0.00054299589 0.0005880484
520.0 530.0 0.00051297623 0.00049184817 0.0005345854
530.0 540.0 0.00046587252 0.00044976714 0.00047989129
540.0 550.0 0.00042705032 0.00040702018 0.00044433393
550.0 560.0 0.00038978298 0.0003715787 0.00040925985
560.0 570.0 0.0003559667 0.00034116583 0.00037082869
570.0 580.0 0.00032435397 0.00031328268 0.00034335905
580.0 590.0 0.00029889428 0.00028797118 0.00031511551
590.0 600.0 0.00027658429 0.00026201789 0.00028800804


# LO yH {ptmin, ptmax, center, min, max}
-6.0 -5.5 2.1489541e-06 1.9653776e-06 2.2914739e-06
-5.5 -5.0 0.0020785055 0.0020284178 0.0021452949
-5.0 -4.5 0.043762427 0.043264378 0.043848536
-4.5 -4.0 0.24221408 0.2357658 0.24619721
-4.0 -3.5 0.68377942 0.65939826 0.70082249
-3.5 -3.0 1.3252661 1.2692581 1.36871
-3.0 -2.5 2.0629286 1.9681681 2.1373314
-2.5 -2.0 2.7841753 2.6472117 2.8906763
-2.0 -1.5 3.4095391 3.2375717 3.5469958
-1.5 -1.0 3.9084545 3.7051464 4.0685956
-1.0 -0.5 4.2432637 4.0192071 4.4216273
-0.5 0.0 4.4149933 4.1797002 4.6010317
0.0 0.5 4.4132596 4.1791218 4.6003154
0.5 1.0 4.2428761 4.0181374 4.4214645
1.0 1.5 3.9079858 3.7052602 4.0686812
1.5 2.0 3.4096575 3.2367987 3.5461895
2.0 2.5 2.7844236 2.6478618 2.8919775
2.5 3.0 2.0628103 1.9682594 2.137491
3.0 3.5 1.3234726 1.2670809 1.3661782
3.5 4.0 0.67990349 0.65570157 0.69733991
4.0 4.5 0.24199099 0.23579073 0.24618082
4.5 5.0 0.044140595 0.043669978 0.044140595
5.0 5.5 0.002155152 0.002068173 0.0022175514
5.5 6.0 1.9687116e-06 1.6987762e-06 2.0199152e-06


# NLO cross-section {center, min, max}
22.186256 21.895946 22.548154


# NLO ptH {ptmin, ptmax, center, min, max}
0.0 10.0 0.025214919 0.024523828 0.025851583
10.0 20.0 0.073128487 0.071195458 0.074930448
20.0 30.0 0.11387817 0.11109857 0.11655968
30.0 40.0 0.14433885 0.14112368 0.14759536
40.0 50.0 0.16361937 0.16030968 0.16710267
50.0 60.0 0.17217401 0.16904234 0.17561568
60.0 70.0 0.17163056 0.16890483 0.17489172
