# create_pdfuncert_schemeB.py -sqrts 10 -Q20
# N3LO cross-section {deltaPDF}
0.00285300685097


# N3LO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.00364505928155
10.0 20.0 0.00361772576211
20.0 30.0 0.00353584508455
30.0 40.0 0.00349112893266
40.0 50.0 0.00329381154427
50.0 60.0 0.0032726769314
60.0 70.0 0.00305495577096
70.0 80.0 0.00290836570621
80.0 90.0 0.00278990693902
90.0 100.0 0.00267374855194
100.0 110.0 0.00256685097447
110.0 120.0 0.00250332058294
120.0 130.0 0.00235186188602
130.0 140.0 0.0020932233496
140.0 150.0 0.0024123831837
150.0 160.0 0.00209914652017
160.0 170.0 0.00195628903404
170.0 180.0 0.00176608918681
180.0 190.0 0.00188218612976
190.0 200.0 0.00187832505012
200.0 210.0 0.00192377093381
210.0 220.0 0.00164711647376
220.0 230.0 0.00156033134053
230.0 240.0 0.00161867455731
240.0 250.0 0.00127309401492
250.0 260.0 0.00245116234615
260.0 270.0 0.00112442182645
270.0 280.0 0.00141064084944
280.0 290.0 0.00122287712139
290.0 300.0 0.00198808198623
300.0 310.0 0.00148905809134
310.0 320.0 0.00109260651893
320.0 330.0 0.00208114317091
330.0 340.0 0.000494529255459
340.0 350.0 0.00225281878074
350.0 360.0 0.00239542181509
360.0 370.0 0.000126992138079
370.0 380.0 0.00236019673313
380.0 390.0 0.00155300271371
390.0 400.0 0.0010106199715
400.0 410.0 0.000686918217609
410.0 420.0 0.00244746548111
420.0 430.0 0.0013791067829
430.0 440.0 0.000846389034564
440.0 450.0 0.00237441197647
450.0 460.0 7.81368469106e-05
460.0 470.0 0.00182990848693
470.0 480.0 0.00162749282159
480.0 490.0 0.00161416236423
490.0 500.0 0.000279419494004
500.0 510.0 0.00420296032525
510.0 520.0 0.00240646015862
520.0 530.0 0.00348046075006
530.0 540.0 0.00297716697449
540.0 550.0 0.00150040803722
550.0 560.0 0.00218907680565
560.0 570.0 0.00127831765887
570.0 580.0 0.00592863257797
580.0 590.0 0.00330917952001
590.0 600.0 0.0065169357365


# N3LO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0
-5.5 -5.0 0.0
-5.0 -4.5 0.0
-4.5 -4.0 0.0197848839757
-4.0 -3.5 0.000732602875682
-3.5 -3.0 0.00541596216178
-3.0 -2.5 0.00547084796775
-2.5 -2.0 0.00479055269751
-2.0 -1.5 0.0038654555006
-1.5 -1.0 0.00286434814188
-1.0 -0.5 0.0021836064661
-0.5 0.0 0.001809907739
0.0 0.5 0.0018032753339
0.5 1.0 0.00218425780864
1.0 1.5 0.00292368944785
1.5 2.0 0.00387825839063
2.0 2.5 0.00471636932747
2.5 3.0 0.00562461818642
3.0 3.5 0.00487133473829
3.5 4.0 0.0031583377782
4.0 4.5 0.0156298692927
4.5 5.0 0.0
5.0 5.5 0.0
5.5 6.0 0.0


