# create_pdfuncert_schemeB.py -sqrts 100 -NNLO -Q40
# NNLO cross-section {deltaPDF}
0.0603686016264


# NNLO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.0694522223226
10.0 20.0 0.0685540509677
20.0 30.0 0.0684565434626
30.0 40.0 0.0674883060603
40.0 50.0 0.0666825084691
50.0 60.0 0.0652285152061
60.0 70.0 0.0646887717774
70.0 80.0 0.0630451710427
80.0 90.0 0.0621516630221
90.0 100.0 0.0609540381622
100.0 110.0 0.0597856662056
110.0 120.0 0.0594557981572
120.0 130.0 0.05800752338
130.0 140.0 0.0567159574858
140.0 150.0 0.0563720868335
150.0 160.0 0.0561351580507
160.0 170.0 0.0547118992541
170.0 180.0 0.0539560955896
180.0 190.0 0.053755425459
190.0 200.0 0.0511903791378
200.0 210.0 0.0519938879574
210.0 220.0 0.0518085401082
220.0 230.0 0.0507385374368
230.0 240.0 0.0512152789546
240.0 250.0 0.0480647883105
250.0 260.0 0.0494603314834
260.0 270.0 0.0478379795484
270.0 280.0 0.0447265715662
280.0 290.0 0.0501466494253
290.0 300.0 0.0482194344505
300.0 310.0 0.046330054355
310.0 320.0 0.0455253071501
320.0 330.0 0.043864633117
330.0 340.0 0.0451215573016
340.0 350.0 0.0483423736962
350.0 360.0 0.044405324696
360.0 370.0 0.040997271913
370.0 380.0 0.0477852566619
380.0 390.0 0.0446810627222
390.0 400.0 0.0422684490237
400.0 410.0 0.042124448361
410.0 420.0 0.0419475096244
420.0 430.0 0.0403097967875
430.0 440.0 0.0458050949101
440.0 450.0 0.0355419169529
450.0 460.0 0.0468575668682
460.0 470.0 0.0423661287245
470.0 480.0 0.0417296599832
480.0 490.0 0.0368426763222
490.0 500.0 0.0399791094832
500.0 510.0 0.0355846664294
510.0 520.0 0.0484060729233
520.0 530.0 0.0267955222932
530.0 540.0 0.0447009323239
540.0 550.0 0.0429685394013
550.0 560.0 0.0306503605339
560.0 570.0 0.02663551065
570.0 580.0 0.0493413815193
580.0 590.0 0.0361876778582
590.0 600.0 0.0315894339904


# NNLO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0165076816309
-5.5 -5.0 0.0357421470078
-5.0 -4.5 0.0487922372236
-4.5 -4.0 0.0540872641376
-4.0 -3.5 0.0572973916043
-3.5 -3.0 0.0598146136621
-3.0 -2.5 0.0604229425483
-2.5 -2.0 0.0609468642083
-2.0 -1.5 0.0614141071641
-1.5 -1.0 0.0617230698398
-1.0 -0.5 0.0614473647861
-0.5 0.0 0.061583724852
0.0 0.5 0.0619310788553
0.5 1.0 0.0616579244028
1.0 1.5 0.0615124233462
1.5 2.0 0.0615261717383
2.0 2.5 0.061192988854
2.5 3.0 0.0604786950039
3.0 3.5 0.0595933965402
3.5 4.0 0.0580455849863
4.0 4.5 0.0531430683608
4.5 5.0 0.0476838541839
5.0 5.5 0.0339457856904
5.5 6.0 0.0112678085159


