# create_pdfuncert_schemeB.py -sqrts 60 -NNLO
# NNLO cross-section {deltaPDF}
0.114461199265


# NNLO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.130328905212
10.0 20.0 0.130141858675
20.0 30.0 0.128877789964
30.0 40.0 0.12737819107
40.0 50.0 0.125821514259
50.0 60.0 0.124017278618
60.0 70.0 0.12174914442
70.0 80.0 0.119874992116
80.0 90.0 0.117786543219
90.0 100.0 0.115657512378
100.0 110.0 0.113339066384
110.0 120.0 0.112192752273
120.0 130.0 0.109673910768
130.0 140.0 0.108087445895
140.0 150.0 0.105916171061
150.0 160.0 0.103940917474
160.0 170.0 0.102572706374
170.0 180.0 0.101902932464
180.0 190.0 0.0986246885204
190.0 200.0 0.098234490367
200.0 210.0 0.0969640000504
210.0 220.0 0.0949009851115
220.0 230.0 0.0937747205216
230.0 240.0 0.0935113972258
240.0 250.0 0.0919281093707
250.0 260.0 0.0876268988952
260.0 270.0 0.0922929190148
270.0 280.0 0.0901133845667
280.0 290.0 0.0864310574028
290.0 300.0 0.0846271166114
300.0 310.0 0.0850911713207
310.0 320.0 0.0875570439565
320.0 330.0 0.0812419145404
330.0 340.0 0.0809224894838
340.0 350.0 0.0816855116088
350.0 360.0 0.0839560918916
360.0 370.0 0.0773274659535
370.0 380.0 0.0770767781708
380.0 390.0 0.0765680290004
390.0 400.0 0.0846761168194
400.0 410.0 0.0708146757757
410.0 420.0 0.0815726316251
420.0 430.0 0.0766562812214
430.0 440.0 0.0730805685852
440.0 450.0 0.0747950036532
450.0 460.0 0.0758625375087
460.0 470.0 0.0752212413016
470.0 480.0 0.0654434090239
480.0 490.0 0.0778886611365
490.0 500.0 0.0663620060447
500.0 510.0 0.0703312231885
510.0 520.0 0.0690798314945
520.0 530.0 0.0700273896318
530.0 540.0 0.0767401437424
540.0 550.0 0.0608484184355
550.0 560.0 0.0734430387484
560.0 570.0 0.0643900761908
570.0 580.0 0.0641156287102
580.0 590.0 0.0670382486693
590.0 600.0 0.0539531714917


# NNLO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0418949512532
-5.5 -5.0 0.0801076788699
-5.0 -4.5 0.106237584165
-4.5 -4.0 0.118393669622
-4.0 -3.5 0.121929439659
-3.5 -3.0 0.122037177022
-3.0 -2.5 0.119887353006
-2.5 -2.0 0.117631249257
-2.0 -1.5 0.114778369704
-1.5 -1.0 0.11238575591
-1.0 -0.5 0.110666192874
-0.5 0.0 0.109717377933
0.0 0.5 0.109768434902
0.5 1.0 0.110673192747
1.0 1.5 0.112390143085
1.5 2.0 0.114822080111
2.0 2.5 0.117380386978
2.5 3.0 0.120247498967
3.0 3.5 0.122002717998
3.5 4.0 0.12195453501
4.0 4.5 0.117856807683
4.5 5.0 0.107051218042
5.0 5.5 0.0773609053595
5.5 6.0 0.0392614188782


