# create_pdfuncert_schemeB.py -sqrts 40 -Q5
# N3LO cross-section {deltaPDF}
0.0214358317143


# N3LO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.0225487793563
10.0 20.0 0.0228092298447
20.0 30.0 0.0228643905884
30.0 40.0 0.0228700040754
40.0 50.0 0.0227197845202
50.0 60.0 0.0227729450286
60.0 70.0 0.0225926092305
70.0 80.0 0.0224644830552
80.0 90.0 0.0224745513647
90.0 100.0 0.0219121025569
100.0 110.0 0.021541916934
110.0 120.0 0.0218075920917
120.0 130.0 0.0211456558654
130.0 140.0 0.0210135183434
140.0 150.0 0.0205890435954
150.0 160.0 0.0202601230981
160.0 170.0 0.0194653292781
170.0 180.0 0.020061007549
180.0 190.0 0.0189464625515
190.0 200.0 0.0185697766369
200.0 210.0 0.0189144633538
210.0 220.0 0.0183197596447
220.0 230.0 0.0175102625487
230.0 240.0 0.0175451170923
240.0 250.0 0.0163083980772
250.0 260.0 0.0176415978665
260.0 270.0 0.0173474351896
270.0 280.0 0.01557337318
280.0 290.0 0.0158221055747
290.0 300.0 0.0152463606479
300.0 310.0 0.0163301709279
310.0 320.0 0.0153309549
320.0 330.0 0.0134318981429
330.0 340.0 0.0137012695774
340.0 350.0 0.0145438655043
350.0 360.0 0.0144807640566
360.0 370.0 0.0150384567453
370.0 380.0 0.0117860051856
380.0 390.0 0.0135112305
390.0 400.0 0.014569244653
400.0 410.0 0.0115804963085
410.0 420.0 0.00983454243201
420.0 430.0 0.0156698475611
430.0 440.0 0.0112487373684
440.0 450.0 0.0116994564018
450.0 460.0 0.012358238166
460.0 470.0 0.0116983271385
470.0 480.0 0.0145877071935
480.0 490.0 0.00897929875142
490.0 500.0 0.0134323621941
500.0 510.0 0.00686199940584
510.0 520.0 0.0100976039153
520.0 530.0 0.00847764468613
530.0 540.0 0.0135942708257
540.0 550.0 0.01306860287
550.0 560.0 0.00284517478013
560.0 570.0 0.0164274061717
570.0 580.0 0.00725548361123
580.0 590.0 0.00891378275102
590.0 600.0 0.00120899567507


# N3LO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0586821833557
-5.5 -5.0 0.0189285217887
-5.0 -4.5 0.00425266103664
-4.5 -4.0 0.0108287688903
-4.0 -3.5 0.0143712635411
-3.5 -3.0 0.0171885316964
-3.0 -2.5 0.0190065696158
-2.5 -2.0 0.0205177258429
-2.0 -1.5 0.0214048556046
-1.5 -1.0 0.0225839861465
-1.0 -0.5 0.0232565082902
-0.5 0.0 0.0238124590512
0.0 0.5 0.0237751647908
0.5 1.0 0.0233388620938
1.0 1.5 0.022506691249
1.5 2.0 0.0214146736886
2.0 2.5 0.0204482096658
2.5 3.0 0.0190589134653
3.0 3.5 0.0171339930656
3.5 4.0 0.014648218682
4.0 4.5 0.0104513476796
4.5 5.0 0.00267456391554
5.0 5.5 0.0193145861814
5.5 6.0 0.0778407440589


