# create_pdfuncert.py -sqrts 60
# NNLO cross-section {deltaPDF}
0.0158158999336


# NNLO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.0191239339374
10.0 20.0 0.0190361793627
20.0 30.0 0.0186962737862
30.0 40.0 0.0183533550169
40.0 50.0 0.0179245813892
50.0 60.0 0.0175245125353
60.0 70.0 0.017070868277
70.0 80.0 0.0167102564979
80.0 90.0 0.0161576375367
90.0 100.0 0.0158714218542
100.0 110.0 0.0154349025537
110.0 120.0 0.015222817269
120.0 130.0 0.0147086183917
130.0 140.0 0.0145120561968
140.0 150.0 0.0140691408877
150.0 160.0 0.0139013415506
160.0 170.0 0.0136067832177
170.0 180.0 0.0133686936251
180.0 190.0 0.0129421178128
190.0 200.0 0.0128303648345
200.0 210.0 0.0129324362546
210.0 220.0 0.0119809921244
220.0 230.0 0.0124237375901
230.0 240.0 0.0119752781705
240.0 250.0 0.0116196888877
250.0 260.0 0.0122719046566
260.0 270.0 0.0116714650791
270.0 280.0 0.0123538946223
280.0 290.0 0.010617104925
290.0 300.0 0.011087500671
300.0 310.0 0.0112456138151
310.0 320.0 0.0108995547686
320.0 330.0 0.0108086466004
330.0 340.0 0.0100366036063
340.0 350.0 0.0104047037278
350.0 360.0 0.0107780412014
360.0 370.0 0.0113998079406
370.0 380.0 0.00919888862782
380.0 390.0 0.00978610454259
390.0 400.0 0.0100718335
400.0 410.0 0.0104131683671
410.0 420.0 0.0102368571392
420.0 430.0 0.00948889552227
430.0 440.0 0.00971926087949
440.0 450.0 0.0117690951618
450.0 460.0 0.00916019895685
460.0 470.0 0.00605088389687
470.0 480.0 0.0120353288116
480.0 490.0 0.00905357175069
490.0 500.0 0.00781338402252
500.0 510.0 0.0108341569373
510.0 520.0 0.0103688018337
520.0 530.0 0.00850014587843
530.0 540.0 0.00767094096659
540.0 550.0 0.0104144154217
550.0 560.0 0.00605949497964
560.0 570.0 0.00866082900362
570.0 580.0 0.00946552313896
580.0 590.0 0.00610982066982
590.0 600.0 0.00572853160209


# NNLO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.00953109978805
-5.5 -5.0 0.00553410098126
-5.0 -4.5 0.00899886688661
-4.5 -4.0 0.0124933544965
-4.0 -3.5 0.0142883475081
-3.5 -3.0 0.0152949892741
-3.0 -2.5 0.0158710872844
-2.5 -2.0 0.0160823762408
-2.0 -1.5 0.0161790480632
-1.5 -1.0 0.0161846021857
-1.0 -0.5 0.0160727898962
-0.5 0.0 0.0160686385506
0.0 0.5 0.0160419262254
0.5 1.0 0.0160875843089
1.0 1.5 0.0161506403892
1.5 2.0 0.0161400505226
2.0 2.5 0.0160979162883
2.5 3.0 0.0159351930579
3.0 3.5 0.0154245614677
3.5 4.0 0.0141700684253
4.0 4.5 0.0123040783483
4.5 5.0 0.00974547893926
5.0 5.5 0.003968281235
5.5 6.0 0.00970294706093


