# create_pdfuncert_schemeB.py -sqrts 60 -NNLO -Q20
# NNLO cross-section {deltaPDF}
0.00729031716646


# NNLO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.0107575802562
10.0 20.0 0.0107167397741
20.0 30.0 0.0103157384798
30.0 40.0 0.00986355283755
40.0 50.0 0.00925669987071
50.0 60.0 0.00885645905084
60.0 70.0 0.00833967936358
70.0 80.0 0.00802501092027
80.0 90.0 0.00742379678118
90.0 100.0 0.00695237751141
100.0 110.0 0.00663907091308
110.0 120.0 0.00655620886787
120.0 130.0 0.00592026579781
130.0 140.0 0.00607497791877
140.0 150.0 0.005477871197
150.0 160.0 0.00497486073822
160.0 170.0 0.00555036408884
170.0 180.0 0.00477944325063
180.0 190.0 0.00483691682315
190.0 200.0 0.00466463919366
200.0 210.0 0.00506132224475
210.0 220.0 0.0036147566071
220.0 230.0 0.00439153694904
230.0 240.0 0.00382777153351
240.0 250.0 0.00376740695185
250.0 260.0 0.00441483310815
260.0 270.0 0.00337438299272
270.0 280.0 0.00521414835539
280.0 290.0 0.00329036074015
290.0 300.0 0.00377951067668
300.0 310.0 0.00275818389484
310.0 320.0 0.00457095612812
320.0 330.0 0.00267958813819
330.0 340.0 0.00439060692048
340.0 350.0 0.00178496313186
350.0 360.0 0.00372575397805
360.0 370.0 0.00412445312368
370.0 380.0 0.00251853793108
380.0 390.0 0.00128043570012
390.0 400.0 0.0046997859598
400.0 410.0 0.00310829471345
410.0 420.0 0.00277060886944
420.0 430.0 0.00405880349313
430.0 440.0 0.00250668842437
440.0 450.0 0.00259737189671
450.0 460.0 0.00415313201784
460.0 470.0 0.000687633221258
470.0 480.0 0.00587390150398
480.0 490.0 0.00266897650376
490.0 500.0 0.00179636062654
500.0 510.0 0.00240197480034
510.0 520.0 0.00374456611219
520.0 530.0 0.0014886305968
530.0 540.0 0.000344217548367
540.0 550.0 0.00680602884847
550.0 560.0 0.00174559634038
560.0 570.0 0.00756334351227
570.0 580.0 0.000873174163031
580.0 590.0 0.00227616678862
590.0 600.0 0.00107869062085


# NNLO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0253143581189
-5.5 -5.0 0.00403029447658
-5.0 -4.5 0.00639774570739
-4.5 -4.0 0.00250110642252
-4.0 -3.5 0.000557070116665
-3.5 -3.0 0.00304062806778
-3.0 -2.5 0.00558825245239
-2.5 -2.0 0.00697473955152
-2.0 -1.5 0.00801619207133
-1.5 -1.0 0.00896438594325
-1.0 -0.5 0.00931677248144
-0.5 0.0 0.00958140012502
0.0 0.5 0.00962317647605
0.5 1.0 0.00928271337712
1.0 1.5 0.00895503514978
1.5 2.0 0.0079586047204
2.0 2.5 0.00690346587405
2.5 3.0 0.00572205077035
3.0 3.5 0.0033853851246
3.5 4.0 0.000234635773509
4.0 4.5 0.00294853861627
4.5 5.0 0.00485677582881
5.0 5.5 0.0086625593228
5.5 6.0 0.0251650883345


