ptH N3LO-NNLO
0.00000000E+00 0.10000000E+02 -7.4662e-06
0.10000000E+02 0.20000000E+02 -2.1579e-05
0.20000000E+02 0.30000000E+02 -2.9133e-05
0.30000000E+02 0.40000000E+02 -3.3227e-05
0.40000000E+02 0.50000000E+02 -3.6407e-05
0.50000000E+02 0.60000000E+02 -2.7515e-05
0.60000000E+02 0.70000000E+02 -3.178e-05
0.70000000E+02 0.80000000E+02 -2.0774e-05
0.80000000E+02 0.90000000E+02 -2.4038e-05
0.90000000E+02 0.10000000E+03 -1.4629e-05
0.10000000E+03 0.11000000E+03 -1.3884e-05
0.11000000E+03 0.12000000E+03 -1.3407e-05
0.12000000E+03 0.13000000E+03 -7.231e-06
0.13000000E+03 0.14000000E+03 -6.465e-06
0.14000000E+03 0.15000000E+03 -4.889e-06
0.15000000E+03 0.16000000E+03 -6.42e-06
0.16000000E+03 0.17000000E+03 -3.1963e-06
0.17000000E+03 0.18000000E+03 -2.9202e-06
0.18000000E+03 0.19000000E+03 -2.5007e-06
0.19000000E+03 0.20000000E+03 -1.7649e-06
0.20000000E+03 0.21000000E+03 -1.0002e-06
0.21000000E+03 0.22000000E+03 -1.4778e-06
0.22000000E+03 0.23000000E+03 -1.1088e-06
0.23000000E+03 0.24000000E+03 -4.487e-07
0.24000000E+03 0.25000000E+03 -7.851e-07
0.25000000E+03 0.26000000E+03 -4.166e-07
0.26000000E+03 0.27000000E+03 -4.354e-07
0.27000000E+03 0.28000000E+03 -5.921e-07
0.28000000E+03 0.29000000E+03 -2.8497e-07
0.29000000E+03 0.30000000E+03 -2.7366e-07
0.30000000E+03 0.31000000E+03 -2.3599e-07
0.31000000E+03 0.32000000E+03 -8.681e-08
0.32000000E+03 0.33000000E+03 -6.482e-08
0.33000000E+03 0.34000000E+03 -4.6526e-07
0.34000000E+03 0.35000000E+03 2.207e-08
0.35000000E+03 0.36000000E+03 5.584e-08
0.36000000E+03 0.37000000E+03 -2.1329e-07
0.37000000E+03 0.38000000E+03 -5.41e-08
0.38000000E+03 0.39000000E+03 -2.2343e-07
0.39000000E+03 0.40000000E+03 2.9174e-07
0.40000000E+03 0.41000000E+03 -2.2748e-07
0.41000000E+03 0.42000000E+03 -2.179e-08
0.42000000E+03 0.43000000E+03 -2.243e-08
0.43000000E+03 0.44000000E+03 4.219e-08
0.44000000E+03 0.45000000E+03 -2.092e-09
0.45000000E+03 0.46000000E+03 -9.4058e-08
0.46000000E+03 0.47000000E+03 -1.05304e-07
0.47000000E+03 0.48000000E+03 8.049e-08
0.48000000E+03 0.49000000E+03 3.5683e-08
0.49000000E+03 0.50000000E+03 -5.2954e-08
0.50000000E+03 0.51000000E+03 -1.2694e-08
0.51000000E+03 0.52000000E+03 -8.5357e-08
0.52000000E+03 0.53000000E+03 5.8243e-08
0.53000000E+03 0.54000000E+03 2.9606e-08
0.54000000E+03 0.55000000E+03 -2.685e-08
0.55000000E+03 0.56000000E+03 1.7931e-08
0.56000000E+03 0.57000000E+03 1.5381e-08
0.57000000E+03 0.58000000E+03 -2.4477e-08
0.58000000E+03 0.59000000E+03 -7.586e-09
0.59000000E+03 0.60000000E+03 3.4235e-08


