yH N3LO-NNLO
-.60000000E+01 -.55000000E+01 0
-.55000000E+01 -.50000000E+01 0
-.50000000E+01 -.45000000E+01 2.24271e-09
-.45000000E+01 -.40000000E+01 2.85346e-06
-.40000000E+01 -.35000000E+01 -7.58e-06
-.35000000E+01 -.30000000E+01 -0.000159453
-.30000000E+01 -.25000000E+01 -0.0004088
-.25000000E+01 -.20000000E+01 -0.0005809
-.20000000E+01 -.15000000E+01 -0.00066038
-.15000000E+01 -.10000000E+01 -0.00052417
-.10000000E+01 -.50000000E+00 -0.00046504
-.50000000E+00 0.00000000E+00 -0.00036439
0.00000000E+00 0.50000000E+00 -0.00036388
0.50000000E+00 0.10000000E+01 -0.00049619
0.10000000E+01 0.15000000E+01 -0.00053216
0.15000000E+01 0.20000000E+01 -0.00063354
0.20000000E+01 0.25000000E+01 -0.0006023
0.25000000E+01 0.30000000E+01 -0.00042436
0.30000000E+01 0.35000000E+01 -0.000112495
0.35000000E+01 0.40000000E+01 -2.0152e-05
0.40000000E+01 0.45000000E+01 4.92094e-06
0.45000000E+01 0.50000000E+01 1.80306e-09
0.50000000E+01 0.55000000E+01 0
0.55000000E+01 0.60000000E+01 0


