# create_lambda_band.py -l 7 -e 100 -n3lo
# N3LO cross-section {center, min, max}
1.1317963 1.1313926 1.1332442 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0023529637 0.0023511519 0.002358453 
30.0 60.0 0.00572409 0.0057209562 0.0057352782 
60.0 90.0 0.0066036819 0.006600885 0.0066147487 
90.0 120.0 0.0058379556 0.0058359478 0.0058454894 
120.0 150.0 0.0045558157 0.004554612 0.0045606195 
150.0 180.0 0.0033556543 0.0033546666 0.0033583792 
180.0 210.0 0.0024151231 0.0024146554 0.0024168454 
210.0 240.0 0.0017300557 0.0017298313 0.0017310105 
240.0 270.0 0.0012447588 0.0012443984 0.0012455374 
270.0 300.0 0.00090566099 0.00090566067 0.000906097 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0010985464 0.0010954546 0.0011001244 
-4.9 -4.8 0.0018450692 0.0018450353 0.0018505487 
-4.8 -4.7 0.0028436285 0.0028356793 0.0028532717 
-4.7 -4.6 0.0041750666 0.0041576064 0.0041888285 
-4.6 -4.5 0.0058655561 0.0058655561 0.0058865377 
-4.5 -4.4 0.0082213078 0.0082112525 0.008245454 
-4.4 -4.3 0.010798301 0.010781015 0.010835506 
-4.3 -4.2 0.013828783 0.013812621 0.013870602 
-4.2 -4.1 0.017617139 0.017617139 0.017674123 
-4.1 -4.0 0.021617901 0.021590278 0.021667705 
-4.0 -3.9 0.026091967 0.026081752 0.026160972 
-3.9 -3.8 0.030979423 0.030959684 0.031059946 
-3.8 -3.7 0.036747927 0.036737181 0.036842205 
-3.7 -3.6 0.042123837 0.042086836 0.042228503 
-3.6 -3.5 0.048178372 0.048166418 0.048266025 
-3.5 -3.4 0.054472897 0.054438893 0.054619166 
-3.4 -3.3 0.061377186 0.061366493 0.061464835 
-3.3 -3.2 0.068340488 0.068274456 0.068475644 
-3.2 -3.1 0.0747286 0.0747286 0.074895667 
-3.1 -3.0 0.081790752 0.081767798 0.081928568 
-3.0 -2.9 0.08849985 0.088460668 0.088665335 
-2.9 -2.8 0.095971234 0.09592734 0.096140607 
-2.8 -2.7 0.10260886 0.10254093 0.10271869 
-2.7 -2.6 0.11011829 0.11011811 0.11033215 
-2.6 -2.5 0.11655237 0.11649415 0.11672553 
-2.5 -2.4 0.12326728 0.12321914 0.12343912 
-2.4 -2.3 0.12984755 0.12982541 0.1300364 
-2.3 -2.2 0.13661802 0.13657153 0.13682855 
-2.2 -2.1 0.14280463 0.14275105 0.14294729 
-2.1 -2.0 0.14872927 0.14867162 0.1488892 
