# create_lambda_band.py -l 1.5 -e 100 -nlo
# NLO cross-section {center, min, max}
0.068441289 0.067875765 0.069091335 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00015805138 0.0001560668 0.00016032187 
30.0 60.0 0.00037401256 0.00036995397 0.00037873153 
60.0 90.0 0.00041417706 0.0004103452 0.00041875716 
90.0 120.0 0.00035133904 0.00034847427 0.0003546827 
120.0 150.0 0.0002648954 0.00026302378 0.00026718847 
150.0 180.0 0.00019024865 0.00018897543 0.00019163492 
180.0 210.0 0.0001340382 0.00013317886 0.0001350063 
210.0 240.0 9.539447e-05 9.4856723e-05 9.5992913e-05 
240.0 270.0 6.8591932e-05 6.8139422e-05 6.9038594e-05 
270.0 300.0 5.0328357e-05 5.0071402e-05 5.0617723e-05 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 1.226692e-05 1.2154392e-05 1.2714834e-05 
-4.9 -4.8 2.2127481e-05 2.0684178e-05 2.2397271e-05 
-4.8 -4.7 3.545181e-05 3.4572716e-05 3.6357096e-05 
-4.7 -4.6 5.8618122e-05 5.6558589e-05 5.9135067e-05 
-4.6 -4.5 8.7927157e-05 8.7319202e-05 9.1152456e-05 
-4.5 -4.4 0.00013079882 0.00012678084 0.00013365627 
-4.4 -4.3 0.00019168318 0.00018935598 0.00019451835 
-4.3 -4.2 0.00026083598 0.00025310077 0.000265615 
-4.2 -4.1 0.00034899119 0.0003435608 0.00035429684 
-4.1 -4.0 0.00047498021 0.00046278751 0.00048685172 
-4.0 -3.9 0.00061400996 0.00060519438 0.00062544853 
-3.9 -3.8 0.00075765136 0.00074302731 0.00076866909 
-3.8 -3.7 0.00096009426 0.00093743401 0.00097663312 
-3.7 -3.6 0.0011906853 0.001174495 0.0012087779 
-3.6 -3.5 0.0014359033 0.0014080125 0.0014580033 
-3.5 -3.4 0.0017326737 0.001703604 0.0017606236 
-3.4 -3.3 0.0020507309 0.0020163286 0.0020832101 
-3.3 -3.2 0.0024176092 0.0023787646 0.0024447667 
