# create_lambda_band.py -l -3 -e 14 -lo
# LO cross-section {center, min, max}
0.033019682 0.03114976 0.035098417 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00010706864 0.00010231409 0.00011197462 
30.0 60.0 0.00023827546 0.00022668348 0.00025071053 
60.0 90.0 0.00024017146 0.00022730438 0.00025433732 
90.0 120.0 0.00018269845 0.00017209696 0.00019458157 
120.0 150.0 0.00012232829 0.00011472196 0.00013095701 
150.0 180.0 7.7374619e-05 7.2297899e-05 8.3168789e-05 
180.0 210.0 4.7990982e-05 4.4675182e-05 5.1816494e-05 
210.0 240.0 2.9798198e-05 2.7679843e-05 3.2275583e-05 
240.0 270.0 1.8679e-05 1.7279226e-05 2.0316582e-05 
270.0 300.0 1.1890497e-05 1.096547e-05 1.295934e-05 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 7.8996645e-17 0.0 7.8996645e-17 
-4.0 -3.9 2.3884179e-11 8.2824873e-12 2.6209624e-11 
-3.9 -3.8 1.7072982e-09 1.5770668e-09 2.1178779e-09 
-3.8 -3.7 2.9903801e-08 2.4377444e-08 3.3804195e-08 
-3.7 -3.6 2.042845e-07 1.739775e-07 2.4691051e-07 
-3.6 -3.5 9.5254476e-07 8.2481516e-07 1.0702313e-06 
-3.5 -3.4 3.1415197e-06 2.7447048e-06 3.6420451e-06 
-3.4 -3.3 8.5302915e-06 7.7187138e-06 9.6280466e-06 
-3.3 -3.2 2.0346073e-05 1.8114822e-05 2.2733037e-05 
-3.2 -3.1 4.1393496e-05 3.758945e-05 4.6191807e-05 
-3.1 -3.0 7.7788e-05 7.0635509e-05 8.6271336e-05 
-3.0 -2.9 0.00013642102 0.00012499078 0.00014999976 
-2.9 -2.8 0.0002204375 0.00020359372 0.00024046558 
-2.8 -2.7 0.00033916302 0.00031237006 0.00037127366 
-2.7 -2.6 0.00049964702 0.0004625368 0.00053977472 
-2.6 -2.5 0.00069513762 0.00064577268 0.00075524076 
-2.5 -2.4 0.00094753701 0.00088083188 0.001020391 
-2.4 -2.3 0.0012403289 0.0011579687 0.0013338767 
-2.3 -2.2 0.0015884776 0.0014822636 0.0017060754 
-2.2 -2.1 0.0019754615 0.001848978 0.0021184479 
-2.1 -2.0 0.0024214315 0.0022690243 0.0025939314 
-2.0 -1.9 0.0029030586 0.0027261737 0.0030980927 
-1.9 -1.8 0.0034196636 0.0032102023 0.0036471311 
-1.8 -1.7 0.0039510725 0.0037200997 0.0042190908 
-1.7 -1.6 0.0045319191 0.0042640294 0.0048192979 
-1.6 -1.5 0.005103139 0.0048077037 0.0054341544 
-1.5 -1.4 0.0056924467 0.0053617755 0.0060520911 
-1.4 -1.3 0.0062805589 0.0059353588 0.0066751885 
-1.3 -1.2 0.0068618912 0.0064681508 0.0072938728 
-1.2 -1.1 0.0074262175 0.0070105465 0.0078835128 
-1.1 -1.0 0.0079584506 0.0075160685 0.0084576374 
-1.0 -0.9 0.0084900009 0.0080202968 0.0090069654 
-0.9 -0.8 0.0089711417 0.0084706967 0.0095224387 
-0.8 -0.7 0.0093881925 0.0088710597 0.0099650042 
-0.7 -0.6 0.0097993927 0.0092635036 0.010400743 
-0.6 -0.5 0.010133085 0.0095763843 0.010745625 
-0.5 -0.4 0.010434776 0.0098608655 0.011077819 
-0.4 -0.3 0.01068035 0.010086243 0.01133812 
-0.3 -0.2 0.01085431 0.010260301 0.011512141 
-0.2 -0.1 0.01095416 0.01035378 0.011622205 
-0.1 0.0 0.011010179 0.010404888 0.011684973 
0.0 0.1 0.011029085 0.010421784 0.011698583 
0.1 0.2 0.010972195 0.010369363 0.011648158 
0.2 0.3 0.010870427 0.010267848 0.011540035 
0.3 0.4 0.010671004 0.010088542 0.01131321 
0.4 0.5 0.010437464 0.009860289 0.011078112 
0.5 0.6 0.010145396 0.0095856834 0.010759734 
0.6 0.7 0.0097893962 0.0092498826 0.010387203 
0.7 0.8 0.0093969914 0.0088781601 0.0099751351 
0.8 0.9 0.0089536671 0.0084585886 0.0095038912 
0.9 1.0 0.008485264 0.0080154966 0.0089997848 
1.0 1.1 0.0079741898 0.0075285472 0.0084745761 
1.1 1.2 0.0074228027 0.0070071175 0.007881766 
1.2 1.3 0.0068784128 0.0064901099 0.0073108445 
1.3 1.4 0.0062928381 0.0059389243 0.0066849021 
1.4 1.5 0.0056943427 0.0053669876 0.0060561344 
1.5 1.6 0.0051073784 0.0048138488 0.0054371003 
1.6 1.7 0.004526173 0.004262174 0.0048206398 
1.7 1.8 0.0039562846 0.0037222355 0.0042182433 
1.8 1.9 0.0034142688 0.0032043066 0.0036414747 
1.9 2.0 0.0028966178 0.0027204419 0.0030971009 
2.0 2.1 0.0024265282 0.0022758259 0.0025902204 
2.1 2.2 0.001977533 0.0018501359 0.0021233878 
2.2 2.3 0.0015790224 0.0014770908 0.0016986867 
2.3 2.4 0.0012437581 0.0011585793 0.0013377204 
2.4 2.5 0.00095025146 0.00088336516 0.0010261279 
2.5 2.6 0.00069530321 0.00064567658 0.00075049621 
2.6 2.7 0.00049743682 0.0004611219 0.00054128061 
2.7 2.8 0.0003405481 0.00031347781 0.0003708902 
2.8 2.9 0.00022104071 0.00020283247 0.0002414186 
2.9 3.0 0.00013603734 0.00012481904 0.00014970915 
3.0 3.1 7.9105669e-05 7.2073201e-05 8.7444602e-05 
3.1 3.2 4.2036814e-05 3.8045184e-05 4.6978613e-05 
3.2 3.3 2.0396391e-05 1.8351758e-05 2.2850675e-05 
3.3 3.4 8.8270904e-06 7.7762092e-06 1.0008649e-05 
3.4 3.5 3.178632e-06 2.7751873e-06 3.5493947e-06 
3.5 3.6 9.2039706e-07 8.1580549e-07 1.0790229e-06 
3.6 3.7 2.2900162e-07 1.9500669e-07 2.5288093e-07 
3.7 3.8 3.0169463e-08 2.6140942e-08 3.8211917e-08 
3.8 3.9 1.4782919e-09 1.3296046e-09 1.7424831e-09 
3.9 4.0 1.8273162e-11 1.2220172e-11 2.0293616e-11 
4.0 4.1 7.8775284e-18 0.0 6.8338011e-14 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00011763223 0.00011184381 0.00012386974 
400.0 600.0 3.5631315e-05 3.318148e-05 3.8436817e-05 
600.0 800.0 7.7522973e-06 7.0851258e-06 8.5536922e-06 
800.0 1000.0 2.3844458e-06 2.1435936e-06 2.6770982e-06 
1000.0 1200.0 8.9972696e-07 8.0153679e-07 1.023215e-06 
1200.0 1400.0 3.9541672e-07 3.4661941e-07 4.5640926e-07 
1400.0 1600.0 1.8605186e-07 1.6110818e-07 2.1602702e-07 
1600.0 1800.0 9.3793404e-08 8.0844352e-08 1.1114272e-07 
1800.0 2000.0 4.9638094e-08 4.3243655e-08 5.9420731e-08 


# LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0047660951 0.0044889636 0.0050783711 
0.31415927 0.62831853 0.004860749 0.0045786298 0.0051759483 
0.62831853 0.9424778 0.0051041881 0.00481065 0.0054293408 
0.9424778 1.2566371 0.0056013853 0.0052861344 0.005956298 
1.2566371 1.5707963 0.0064439514 0.0060816781 0.0068467572 
1.5707963 1.8849556 0.0078296495 0.0073907409 0.0083146711 
1.8849556 2.1991149 0.010057065 0.0094988311 0.010677043 
2.1991149 2.5132741 0.013669979 0.012914549 0.014510898 
2.5132741 2.8274334 0.019524318 0.018430463 0.020732693 
2.8274334 3.1415927 0.02724753 0.025672125 0.028999708 


# LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 1.2315197e-05 1.1901489e-05 1.2707883e-05 
30.0 60.0 0.00010740782 0.00010317761 0.00011167896 
60.0 90.0 0.00020960193 0.00020003473 0.00021976296 
90.0 120.0 0.00022528928 0.00021363709 0.00023798519 
120.0 150.0 0.0001826801 0.00017216578 0.00019436389 
150.0 180.0 0.00012887325 0.00012080272 0.00013805374 
180.0 210.0 8.467936e-05 7.888808e-05 9.1315511e-05 
210.0 240.0 5.389989e-05 4.9973587e-05 5.8453941e-05 
240.0 270.0 3.3943923e-05 3.1305174e-05 3.7031114e-05 
270.0 300.0 2.1410374e-05 1.9658634e-05 2.3473176e-05 


# LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 2.3151398e-11 1.7508319e-12 2.4020303e-11 
-4.6 -4.5 2.3914953e-11 2.3914953e-11 4.822475e-11 
-4.5 -4.4 1.7638587e-09 1.2208513e-09 2.5935398e-09 
-4.4 -4.3 1.7019018e-08 1.2691332e-08 1.9279928e-08 
-4.3 -4.2 7.4911981e-08 6.2841768e-08 9.9856755e-08 
-4.2 -4.1 2.9534402e-07 2.6481699e-07 3.3560214e-07 
-4.1 -4.0 1.2275348e-06 9.8514554e-07 1.4489689e-06 
-4.0 -3.9 2.2188708e-06 2.0242763e-06 2.6921057e-06 
-3.9 -3.8 5.254145e-06 4.5851176e-06 6.0363377e-06 
-3.8 -3.7 1.0417811e-05 9.4388681e-06 1.1854142e-05 
-3.7 -3.6 2.0219994e-05 1.7818582e-05 2.3144298e-05 
-3.6 -3.5 3.5462034e-05 3.1601548e-05 3.9991507e-05 
-3.5 -3.4 6.032881e-05 5.4452062e-05 6.6679988e-05 
-3.4 -3.3 9.5996969e-05 8.6548208e-05 0.00010736454 
-3.3 -3.2 0.00014855136 0.00013582588 0.00016457854 
-3.2 -3.1 0.00021685678 0.00019837775 0.00023828249 
-3.1 -3.0 0.00030638327 0.00028170379 0.00033605813 
-3.0 -2.9 0.0004280306 0.00039230154 0.00046811454 
-2.9 -2.8 0.00057694662 0.0005322571 0.00062875933 
-2.8 -2.7 0.0007529638 0.00069691431 0.00081838426 
-2.7 -2.6 0.0009692138 0.00090004575 0.0010492882 
-2.6 -2.5 0.0012218801 0.001134867 0.0013198407 
-2.5 -2.4 0.0015038284 0.0014015072 0.0016196495 
-2.4 -2.3 0.0018188263 0.0016995218 0.0019544059 
-2.3 -2.2 0.0021843317 0.0020396641 0.00234876 
-2.2 -2.1 0.0025622757 0.002400307 0.0027404683 
-2.1 -2.0 0.0029656671 0.0027814727 0.0031767735 
-2.0 -1.9 0.0034150706 0.0032049793 0.0036495791 
-1.9 -1.8 0.0038711102 0.0036371172 0.0041351852 
-1.8 -1.7 0.0043461003 0.0040888352 0.0046335443 
-1.7 -1.6 0.0048407761 0.0045594434 0.0051479694 
-1.6 -1.5 0.0053141242 0.0050071733 0.0056555947 
-1.5 -1.4 0.0058142217 0.0054838672 0.0061848214 
-1.4 -1.3 0.0062972006 0.00593853 0.006696711 
-1.3 -1.2 0.0067847528 0.0063991613 0.0072076897 
-1.2 -1.1 0.0072337418 0.0068325955 0.0076728066 
-1.1 -1.0 0.007667439 0.0072420072 0.0081455656 
-1.0 -0.9 0.0080894551 0.0076436693 0.0085787412 
-0.9 -0.8 0.0084759283 0.0080116842 0.0089884044 
-0.8 -0.7 0.0088305105 0.0083526706 0.0093684363 
-0.7 -0.6 0.0091418739 0.0086446168 0.0096804833 
-0.6 -0.5 0.0093966728 0.0088823216 0.0099707236 
-0.5 -0.4 0.009633087 0.0091192373 0.010208508 
-0.4 -0.3 0.0098355238 0.0092995465 0.010420589 
-0.3 -0.2 0.0099864821 0.0094521378 0.010581368 
-0.2 -0.1 0.01007147 0.0095316435 0.010669217 
-0.1 0.0 0.010127316 0.0095814859 0.010737309 
0.0 0.1 0.010131483 0.0095830437 0.010730867 
0.1 0.2 0.010087113 0.0095469289 0.010688365 
0.2 0.3 0.0099984213 0.0094535959 0.010592086 
0.3 0.4 0.0098376276 0.0093103714 0.010427473 
0.4 0.5 0.0096656806 0.0091412606 0.010234159 
0.5 0.6 0.0094122549 0.0089010576 0.0099888836 
0.6 0.7 0.0091414006 0.0086458233 0.0096870525 
0.7 0.8 0.0088207123 0.0083340759 0.0093489842 
0.8 0.9 0.0084641951 0.0080075549 0.0089788181 
0.9 1.0 0.0080865916 0.0076358512 0.0085801918 
1.0 1.1 0.0076789962 0.0072555439 0.0081483643 
1.1 1.2 0.0072376316 0.0068351825 0.0076886356 
1.2 1.3 0.0067858124 0.0064057121 0.0072057767 
1.3 1.4 0.0063058047 0.0059456858 0.0067055991 
1.4 1.5 0.005813953 0.0054846479 0.0061821732 
1.5 1.6 0.0053276455 0.0050232938 0.0056668836 
1.6 1.7 0.004842515 0.004555672 0.0051589748 
1.7 1.8 0.004351017 0.0040947406 0.0046394026 
1.8 1.9 0.0038640024 0.0036332931 0.0041268363 
1.9 2.0 0.0034127045 0.003201078 0.0036447711 
2.0 2.1 0.0029683976 0.00277992 0.0031753654 
2.1 2.2 0.0025517066 0.0023891576 0.0027351319 
2.2 2.3 0.0021753853 0.0020350526 0.0023324487 
2.3 2.4 0.0018223923 0.0017034853 0.0019621988 
2.4 2.5 0.0015057061 0.0014032728 0.001623156 
2.5 2.6 0.001214519 0.0011295365 0.0013082878 
2.6 2.7 0.00096702219 0.00089838993 0.0010465269 
2.7 2.8 0.00075470735 0.000695849 0.00082177976 
2.8 2.9 0.0005761179 0.00053358012 0.0006272922 
2.9 3.0 0.00042933957 0.00039417347 0.00046921546 
3.0 3.1 0.00031051244 0.00028672427 0.00034066326 
3.1 3.2 0.0002185637 0.00019867352 0.00024112259 
3.2 3.3 0.0001465079 0.00013301011 0.00016218549 
3.3 3.4 9.4964695e-05 8.6007149e-05 0.00010546521 
3.4 3.5 6.0695676e-05 5.4914485e-05 6.7645134e-05 
3.5 3.6 3.564241e-05 3.1713848e-05 4.0267994e-05 
3.6 3.7 1.9832599e-05 1.7678657e-05 2.2904199e-05 
3.7 3.8 1.0572064e-05 9.2729152e-06 1.2043953e-05 
3.8 3.9 4.9972903e-06 4.4290734e-06 5.8021891e-06 
3.9 4.0 2.3148562e-06 2.013016e-06 2.6452677e-06 
4.0 4.1 8.300315e-07 7.2819791e-07 9.5058983e-07 
4.1 4.2 2.9596799e-07 2.4077607e-07 3.6450513e-07 
4.2 4.3 8.9940044e-08 6.679893e-08 1.1282275e-07 
4.3 4.4 1.3493147e-08 1.186249e-08 1.5880129e-08 
4.4 4.5 1.7294714e-09 1.4033235e-09 1.7294714e-09 
4.5 4.6 6.342511e-11 3.8912047e-11 1.0512627e-10 
4.6 4.7 1.7008728e-13 1.7008728e-13 5.1737385e-13 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# LO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.00016143317 0.0001540185 0.00016933214 
30.0 60.0 0.00030974288 0.00029428363 0.0003264622 
60.0 90.0 0.00025464348 0.00024064942 0.00027012742 
90.0 120.0 0.00015943398 0.00014979187 0.00017023857 
120.0 150.0 9.0908483e-05 8.4911056e-05 9.7701197e-05 
150.0 180.0 5.0790994e-05 4.7174104e-05 5.4994865e-05 
180.0 210.0 2.8790991e-05 2.6595296e-05 3.1359908e-05 
210.0 240.0 1.6739943e-05 1.5377297e-05 1.8353258e-05 
240.0 270.0 9.9865108e-06 9.1293543e-06 1.1014196e-05 
270.0 300.0 6.1451762e-06 5.5812527e-06 6.7965266e-06 


# LO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 2.7270727e-12 2.2700831e-14 2.7270727e-12 
-4.6 -4.5 4.9226054e-10 1.7948772e-10 4.9226054e-10 
-4.5 -4.4 8.5464548e-09 5.8784406e-09 1.0898014e-08 
-4.4 -4.3 6.1760266e-08 6.0045377e-08 8.230854e-08 
-4.3 -4.2 2.4117225e-07 1.9652959e-07 2.9734089e-07 
-4.2 -4.1 7.0393566e-07 6.3604631e-07 7.9770571e-07 
-4.1 -4.0 2.3942473e-06 2.1276707e-06 2.9946848e-06 
-4.0 -3.9 5.4410116e-06 4.5770944e-06 6.3348781e-06 
-3.9 -3.8 1.0877756e-05 9.3645634e-06 1.3517801e-05 
-3.8 -3.7 2.2813661e-05 1.990286e-05 2.6561412e-05 
-3.7 -3.6 3.8337981e-05 3.4879656e-05 4.4564916e-05 
-3.6 -3.5 6.4878728e-05 5.7136919e-05 7.3077532e-05 
-3.5 -3.4 9.9330029e-05 8.9531769e-05 0.00011414252 
-3.4 -3.3 0.0001582963 0.00013971311 0.00017595339 
-3.3 -3.2 0.00022884764 0.0002085588 0.00025230232 
-3.2 -3.1 0.00031370928 0.00028557077 0.00034788547 
-3.1 -3.0 0.00042784168 0.00039052832 0.00047427267 
-3.0 -2.9 0.00057510143 0.0005274875 0.00063072336 
-2.9 -2.8 0.0007392052 0.00068085106 0.00080821637 
-2.8 -2.7 0.00093922584 0.00086814896 0.0010267924 
-2.7 -2.6 0.001175655 0.0010872791 0.0012713046 
-2.6 -2.5 0.0014313486 0.0013264075 0.0015504662 
-2.5 -2.4 0.0017321948 0.0016121602 0.0018676895 
-2.4 -2.3 0.0020501059 0.0019131079 0.0022104251 
-2.3 -2.2 0.0024085879 0.0022474056 0.0025913349 
-2.2 -2.1 0.0027896038 0.0026087409 0.0029947768 
-2.1 -2.0 0.0031821582 0.0029800298 0.0034058259 
-2.0 -1.9 0.003615549 0.0033956657 0.0038662037 
-1.9 -1.8 0.004041655 0.0037970671 0.0043184557 
-1.8 -1.7 0.0044952364 0.0042250019 0.0047958968 
-1.7 -1.6 0.0049501505 0.0046585225 0.0052752211 
-1.6 -1.5 0.0054052853 0.0050948448 0.0057510279 
-1.5 -1.4 0.0058524848 0.0055082748 0.0062212454 
-1.4 -1.3 0.0063000172 0.0059518624 0.0066936573 
-1.3 -1.2 0.0067359952 0.006358451 0.0071515057 
-1.2 -1.1 0.0071414051 0.0067518934 0.0075842151 
-1.1 -1.0 0.0075466569 0.0071287933 0.0080009202 
-1.0 -0.9 0.0079152714 0.0074871882 0.0083911837 
