# create_lambda_band.py -l 10 -e 14 -lo
# LO cross-section {center, min, max}
0.1051343 0.099497858 0.11134043 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00030487217 0.00029268037 0.00031715982 
30.0 60.0 0.00069111568 0.00066054802 0.00072330696 
60.0 90.0 0.0007200685 0.00068451776 0.00075849463 
90.0 120.0 0.00057202731 0.00054110728 0.00060624796 
120.0 150.0 0.00040323796 0.00037997904 0.00042940617 
150.0 180.0 0.00026943196 0.00025277645 0.00028815547 
180.0 210.0 0.00017681022 0.00016543707 0.00018989797 
210.0 240.0 0.00011605051 0.00010806345 0.00012503781 
240.0 270.0 7.6734426e-05 7.1328137e-05 8.308165e-05 
270.0 300.0 5.1475943e-05 4.7676914e-05 5.5854151e-05 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 3.8143544e-16 1.2075206e-17 3.8143544e-16 
-4.0 -3.9 1.0155146e-10 3.5706309e-11 1.0155146e-10 
-3.9 -3.8 5.7674084e-09 5.4839309e-09 7.6123305e-09 
-3.8 -3.7 1.1824267e-07 9.5525762e-08 1.3753189e-07 
-3.7 -3.6 7.5932237e-07 6.8182411e-07 9.064972e-07 
-3.6 -3.5 3.5351813e-06 3.109113e-06 4.1133628e-06 
-3.5 -3.4 1.2276958e-05 1.0754303e-05 1.3907922e-05 
-3.4 -3.3 3.2458684e-05 2.9399835e-05 3.6815576e-05 
-3.3 -3.2 7.6079118e-05 6.8054413e-05 8.5512224e-05 
-3.2 -3.1 0.00015482212 0.00014074927 0.00017064842 
