# create_lambda_band.py -l -5 -e 14 -n3lo
# N3LO cross-section {center, min, max}
0.064757228 0.064735549 0.064805282 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0002051276 0.00020497773 0.0002053608 
30.0 60.0 0.0004580998 0.00045788343 0.00045852178 
60.0 90.0 0.00046505704 0.00046491375 0.00046539167 
90.0 120.0 0.00035720343 0.00035712667 0.00035742174 
120.0 150.0 0.00024204845 0.00024199414 0.00024217766 
150.0 180.0 0.00015497442 0.00015495123 0.0001550628 
180.0 210.0 9.7406789e-05 9.7385763e-05 9.7459961e-05 
210.0 240.0 6.1236815e-05 6.1227237e-05 6.1279171e-05 
240.0 270.0 3.8935837e-05 3.8916577e-05 3.8949139e-05 
270.0 300.0 2.5060126e-05 2.5049928e-05 2.5082404e-05 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 0.0 0.0 0.0 
-4.0 -3.9 5.5294961e-11 4.2188212e-11 5.7894164e-11 
-3.9 -3.8 7.7304364e-09 7.5113382e-09 7.8948463e-09 
-3.8 -3.7 9.5753366e-08 9.4712762e-08 9.8061955e-08 
-3.7 -3.6 6.1327029e-07 5.9347514e-07 6.1789692e-07 
-3.6 -3.5 2.737482e-06 2.7277893e-06 2.7591052e-06 
-3.5 -3.4 8.6399694e-06 8.5802916e-06 8.655701e-06 
-3.4 -3.3 2.26457e-05 2.2564373e-05 2.2675557e-05 
-3.3 -3.2 5.0776725e-05 5.0578497e-05 5.0842774e-05 
-3.2 -3.1 0.00010132546 0.00010111815 0.00010137078 
-3.1 -3.0 0.00018876532 0.00018868934 0.00018901741 
-3.0 -2.9 0.00032056536 0.00032029957 0.00032084456 
-2.9 -2.8 0.00050810518 0.00050696463 0.00050839494 
-2.8 -2.7 0.00076838626 0.00076768372 0.00076883865 
-2.7 -2.6 0.0011016193 0.0010996639 0.001102509 
-2.6 -2.5 0.0015289629 0.0015279399 0.0015298629 
-2.5 -2.4 0.0020390874 0.0020363728 0.0020409735 
-2.4 -2.3 0.0026454167 0.0026429268 0.0026481514 
-2.3 -2.2 0.0033513873 0.0033488541 0.0033547291 
-2.2 -2.1 0.0041337415 0.004130897 0.004139049 
-2.1 -2.0 0.0050198546 0.0050150516 0.0050251029 
-2.0 -1.9 0.0059552748 0.0059513262 0.0059613899 
