# create_lambda_band.py -l 0.5 -e 14 -n3lo
# N3LO cross-section {center, min, max}
0.0033121265 0.0033109362 0.0033140403 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 1.1672268e-05 1.166305e-05 1.1682121e-05 
30.0 60.0 2.5402919e-05 2.5390047e-05 2.5419624e-05 
60.0 90.0 2.4792786e-05 2.4785089e-05 2.4806176e-05 
90.0 120.0 1.8192257e-05 1.8187904e-05 1.8200452e-05 
120.0 150.0 1.1712508e-05 1.1710282e-05 1.1717415e-05 
150.0 180.0 7.1427238e-06 7.1407658e-06 7.1459144e-06 
180.0 210.0 4.2913686e-06 4.2905701e-06 4.2939472e-06 
210.0 240.0 2.577961e-06 2.5774062e-06 2.5791744e-06 
240.0 270.0 1.582284e-06 1.5821697e-06 1.5839061e-06 
270.0 300.0 9.9152364e-07 9.9073591e-07 9.9176049e-07 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 0.0 0.0 9.5860297e-24 
-4.0 -3.9 2.1728135e-12 1.8856006e-12 2.9236183e-12 
-3.9 -3.8 1.3821082e-10 1.3560619e-10 1.4462374e-10 
-3.8 -3.7 2.2959674e-09 2.2400994e-09 2.4869846e-09 
-3.7 -3.6 1.4861291e-08 1.4735934e-08 1.5025213e-08 
-3.6 -3.5 6.5817137e-08 6.4562033e-08 6.6605926e-08 
-3.5 -3.4 2.2194381e-07 2.194849e-07 2.2319707e-07 
-3.4 -3.3 6.0422262e-07 6.0018207e-07 6.0507605e-07 
-3.3 -3.2 1.4015097e-06 1.3892047e-06 1.4043416e-06 
-3.2 -3.1 2.9161604e-06 2.9153739e-06 2.9261302e-06 
-3.1 -3.0 5.4367583e-06 5.4190256e-06 5.4367583e-06 
-3.0 -2.9 9.4956797e-06 9.4580343e-06 9.5050635e-06 
-2.9 -2.8 1.5683647e-05 1.5657255e-05 1.5699941e-05 
-2.8 -2.7 2.4519875e-05 2.4479441e-05 2.4543454e-05 
-2.7 -2.6 3.6551326e-05 3.6465752e-05 3.6558796e-05 
-2.6 -2.5 5.2445775e-05 5.2407725e-05 5.2515669e-05 
-2.5 -2.4 7.2056784e-05 7.1995725e-05 7.2078531e-05 
-2.4 -2.3 9.6573747e-05 9.6463905e-05 9.6671992e-05 
-2.3 -2.2 0.00012575898 0.00012554276 0.000125952 
-2.2 -2.1 0.00016048546 0.00016028884 0.00016062383 
-2.1 -2.0 0.00019990121 0.00019982449 0.00020001557 
-2.0 -1.9 0.0002454036 0.00024510475 0.00024571638 
-1.9 -1.8 0.00029438148 0.00029427165 0.00029459579 
-1.8 -1.7 0.00034959581 0.00034920432 0.00034975017 
-1.7 -1.6 0.00040685016 0.00040678686 0.0004072333 
-1.6 -1.5 0.0004682268 0.0004678183 0.00046869756 
-1.5 -1.4 0.00053194868 0.00053171776 0.00053226171 
-1.4 -1.3 0.0005970298 0.00059676666 0.00059759631 
-1.3 -1.2 0.00066394565 0.00066352207 0.00066432233 
-1.2 -1.1 0.0007302307 0.00073002331 0.00073059997 
-1.1 -1.0 0.00079689887 0.00079656532 0.00079743808 
-1.0 -0.9 0.0008581887 0.00085784538 0.00085859978 
-0.9 -0.8 0.0009211257 0.00092074603 0.0009218784 
-0.8 -0.7 0.00097630104 0.0009759364 0.0009766517 
-0.7 -0.6 0.0010276938 0.0010272476 0.001028281 
-0.6 -0.5 0.0010734903 0.0010733919 0.0010742682 
-0.5 -0.4 0.0011153506 0.0011148458 0.0011155855 
-0.4 -0.3 0.0011455921 0.0011453302 0.0011462554 
-0.3 -0.2 0.0011739546 0.0011735434 0.0011743414 
-0.2 -0.1 0.0011851155 0.0011847568 0.001185765 
-0.1 0.0 0.0011931058 0.0011928069 0.0011935969 
0.0 0.1 0.0011946192 0.0011944188 0.0011952123 
0.1 0.2 0.0011879466 0.0011875785 0.0011885739 
0.2 0.3 0.0011730999 0.0011727525 0.0011737752 
0.3 0.4 0.0011455675 0.0011451133 0.0011459016 
0.4 0.5 0.0011135321 0.0011132755 0.0011142039 
0.5 0.6 0.0010729854 0.0010727326 0.001073437 
0.6 0.7 0.0010273588 0.0010270016 0.0010278155 
0.7 0.8 0.00097559003 0.00097502253 0.00097619223 
0.8 0.9 0.00092027295 0.00092000572 0.00092057497 
0.9 1.0 0.00085905822 0.00085892836 0.00085990367 
1.0 1.1 0.0007947362 0.00079437038 0.00079520939 
1.1 1.2 0.00073423294 0.00073392335 0.00073473071 
1.2 1.3 0.00066586934 0.0006655083 0.00066621333 
1.3 1.4 0.00059788052 0.00059757001 0.00059833528 
1.4 1.5 0.00053274305 0.0005323975 0.00053312507 
1.5 1.6 0.00046823906 0.00046804337 0.0004685518 
1.6 1.7 0.00040709401 0.00040680409 0.00040743951 
1.7 1.8 0.00034947922 0.000349246 0.00034974562 
1.8 1.9 0.00029430706 0.00029416796 0.00029445126 
1.9 2.0 0.00024462556 0.00024427415 0.00024496988 
