# create_lambda_band.py -l -1 -e 14 -nlo
# NLO cross-section {center, min, max}
0.011484606 0.011435956 0.011565419 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 3.8673085e-05 3.8540368e-05 3.8901132e-05 
30.0 60.0 8.5317508e-05 8.5048908e-05 8.5878104e-05 
60.0 90.0 8.4902553e-05 8.460797e-05 8.5497831e-05 
90.0 120.0 6.3640288e-05 6.3348179e-05 6.4100139e-05 
120.0 150.0 4.1868631e-05 4.1631666e-05 4.2183876e-05 
150.0 180.0 2.602732e-05 2.5858691e-05 2.6220569e-05 
180.0 210.0 1.5834568e-05 1.5722186e-05 1.5960257e-05 
210.0 240.0 9.6458086e-06 9.568335e-06 9.720909e-06 
240.0 270.0 5.9329242e-06 5.8743391e-06 5.979681e-06 
270.0 300.0 3.716212e-06 3.6845848e-06 3.7455132e-06 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 7.1935565e-19 0.0 1.4015701e-14 
-4.0 -3.9 1.01266e-11 7.606819e-12 2.4309448e-11 
-3.9 -3.8 8.885013e-10 7.4033306e-10 9.3503031e-10 
-3.8 -3.7 1.1818791e-08 1.1611937e-08 1.3842519e-08 
-3.7 -3.6 8.2416915e-08 7.5860382e-08 8.5910787e-08 
-3.6 -3.5 3.6827052e-07 3.5264222e-07 3.8509947e-07 
-3.5 -3.4 1.1601724e-06 1.0992349e-06 1.210364e-06 
-3.4 -3.3 3.2119715e-06 3.0822524e-06 3.3223766e-06 
-3.3 -3.2 7.3318142e-06 7.0690032e-06 7.5510528e-06 
-3.2 -3.1 1.5066372e-05 1.4431976e-05 1.544898e-05 
-3.1 -3.0 2.7964559e-05 2.7197443e-05 2.8387384e-05 
-3.0 -2.9 4.7938319e-05 4.675449e-05 4.8738631e-05 
-2.9 -2.8 7.7686959e-05 7.5910267e-05 7.8882002e-05 
-2.8 -2.7 0.00011814501 0.00011581856 0.00011942645 
-2.7 -2.6 0.00017127457 0.00016830971 0.00017293254 
-2.6 -2.5 0.00024052536 0.00023714945 0.00024312779 
-2.5 -2.4 0.00032691467 0.0003219359 0.00032901167 
-2.4 -2.3 0.00042597836 0.0004216569 0.00042939584 
-2.3 -2.2 0.00054257283 0.00053652544 0.00054624228 
-2.2 -2.1 0.00067821113 0.0006701689 0.00068258405 
-2.1 -2.0 0.00082818456 0.00082186409 0.00083381594 
-2.0 -1.9 0.00099319424 0.00098650455 0.00099963174 
-1.9 -1.8 0.0011709898 0.0011620125 0.0011786642 
-1.8 -1.7 0.0013569459 0.0013478636 0.0013651439 
-1.7 -1.6 0.0015552526 0.0015457372 0.0015647866 
-1.6 -1.5 0.00175573 0.0017461095 0.0017673203 
-1.5 -1.4 0.0019617878 0.0019535306 0.0019737452 
-1.4 -1.3 0.0021646069 0.0021537657 0.0021795035 
-1.3 -1.2 0.0023698907 0.0023593001 0.0023859866 
-1.2 -1.1 0.00257007 0.0025605227 0.0025888729 
-1.1 -1.0 0.0027641475 0.002753391 0.002781914 
-1.0 -0.9 0.0029525373 0.0029426313 0.002974243 
-0.9 -0.8 0.0031233687 0.0031123189 0.0031440123 
-0.8 -0.7 0.0032753501 0.0032628538 0.003298855 
-0.7 -0.6 0.0034219154 0.0034093925 0.0034465682 
-0.6 -0.5 0.003544483 0.0035297773 0.0035701916 
-0.5 -0.4 0.0036535831 0.0036407593 0.0036806979 
-0.4 -0.3 0.0037434237 0.0037268013 0.0037698497 
-0.3 -0.2 0.0038106894 0.0037960674 0.0038391028 
-0.2 -0.1 0.0038445535 0.0038279901 0.0038732918 
-0.1 0.0 0.0038616207 0.0038454586 0.0038902016 
0.0 0.1 0.0038762893 0.0038605992 0.0039045088 
0.1 0.2 0.0038448628 0.0038283841 0.0038733855 
0.2 0.3 0.0038151322 0.0037999298 0.0038425353 
0.3 0.4 0.0037386582 0.003724139 0.003766797 
0.4 0.5 0.0036576089 0.0036432933 0.0036848887 
0.5 0.6 0.0035435331 0.0035295137 0.0035686501 
0.6 0.7 0.0034197946 0.0034063 0.003443835 
0.7 0.8 0.0032802234 0.0032684697 0.0033031375 
0.8 0.9 0.0031171218 0.0031061093 0.0031401044 
