# create_lambda_band.py -l -4 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.047112896 0.046984641 0.047186289 


# NNLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00015049384 0.0001499153 0.00015091543 
30.0 60.0 0.00033553622 0.00033443002 0.00033628569 
60.0 90.0 0.00033977939 0.00033882473 0.00034035685 
90.0 120.0 0.00026013264 0.00025948888 0.0002604854 
120.0 150.0 0.0001755537 0.00017516566 0.00017575286 
150.0 180.0 0.00011195332 0.00011171995 0.00011206418 
180.0 210.0 7.0069949e-05 6.9935014e-05 7.0127463e-05 
210.0 240.0 4.3887235e-05 4.3800371e-05 4.3924606e-05 
240.0 270.0 2.7747563e-05 2.7699987e-05 2.7771212e-05 
270.0 300.0 1.7798357e-05 1.7757789e-05 1.7808356e-05 


# NNLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 0.0 0.0 3.0525937e-19 
-4.0 -3.9 6.4522584e-11 4.0771291e-11 7.8798585e-11 
-3.9 -3.8 4.6828137e-09 4.2500769e-09 4.8250959e-09 
-3.8 -3.7 6.6800097e-08 6.4941531e-08 6.7548903e-08 
-3.7 -3.6 4.2347716e-07 4.0472864e-07 4.3370503e-07 
-3.6 -3.5 1.9535073e-06 1.9138024e-06 1.9906862e-06 
-3.5 -3.4 6.0204511e-06 5.8804202e-06 6.0667326e-06 
-3.4 -3.3 1.6247696e-05 1.6035851e-05 1.6348616e-05 
-3.3 -3.2 3.5926538e-05 3.5487284e-05 3.6147109e-05 
-3.2 -3.1 7.240145e-05 7.1912954e-05 7.2718661e-05 
-3.1 -3.0 0.00013577151 0.00013492448 0.00013598731 
