# create_lambda_band.py -l 0.5 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.0033134075 0.0033040895 0.0033174462 


# NNLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 1.1676848e-05 1.1630339e-05 1.1697155e-05 
30.0 60.0 2.5412343e-05 2.5327738e-05 2.5450906e-05 
60.0 90.0 2.4802435e-05 2.4732278e-05 2.4835063e-05 
90.0 120.0 1.8199256e-05 1.8153713e-05 1.821898e-05 
120.0 150.0 1.1716984e-05 1.169066e-05 1.1727888e-05 
150.0 180.0 7.145298e-06 7.1300325e-06 7.1512679e-06 
180.0 210.0 4.293401e-06 4.2842508e-06 4.2965039e-06 
210.0 240.0 2.5791722e-06 2.5738912e-06 2.5801977e-06 
240.0 270.0 1.5830653e-06 1.5810475e-06 1.5843978e-06 
270.0 300.0 9.9135949e-07 9.8964666e-07 9.9294278e-07 


# NNLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 4.3181547e-17 0.0 4.3181547e-17 
-4.0 -3.9 6.5773161e-13 6.5773161e-13 2.0239858e-12 
-3.9 -3.8 1.2618779e-10 1.2359229e-10 1.4204533e-10 
-3.8 -3.7 2.2808639e-09 2.2486068e-09 2.4775303e-09 
-3.7 -3.6 1.4759123e-08 1.3597008e-08 1.5005238e-08 
-3.6 -3.5 6.3462485e-08 6.290943e-08 6.6271315e-08 
-3.5 -3.4 2.1938123e-07 2.1279039e-07 2.2395887e-07 
-3.4 -3.3 6.0114905e-07 5.984725e-07 6.0420534e-07 
-3.3 -3.2 1.3908368e-06 1.3604103e-06 1.4050066e-06 
-3.2 -3.1 2.9117272e-06 2.9063873e-06 2.9319564e-06 
-3.1 -3.0 5.4299092e-06 5.3764653e-06 5.441125e-06 
-3.0 -2.9 9.4997286e-06 9.4378221e-06 9.5025913e-06 
-2.9 -2.8 1.5662705e-05 1.562881e-05 1.5710198e-05 
-2.8 -2.7 2.4496771e-05 2.4403924e-05 2.4574382e-05 
-2.7 -2.6 3.6564262e-05 3.6402495e-05 3.6633934e-05 
-2.6 -2.5 5.25296e-05 5.2379794e-05 5.2602792e-05 
-2.5 -2.4 7.2086138e-05 7.195421e-05 7.217863e-05 
-2.4 -2.3 9.6710192e-05 9.6458847e-05 9.692027e-05 
-2.3 -2.2 0.00012593411 0.00012541254 0.00012612932 
-2.2 -2.1 0.0001607541 0.0001600762 0.0001609482 
-2.1 -2.0 0.0001999354 0.00019958892 0.00020034278 
-2.0 -1.9 0.00024579998 0.00024493526 0.00024618549 
-1.9 -1.8 0.00029464767 0.00029378468 0.00029496543 
-1.8 -1.7 0.00034973042 0.00034871439 0.00035013106 
-1.7 -1.6 0.00040725218 0.00040593972 0.00040776351 
-1.6 -1.5 0.00046877154 0.00046700669 0.00046927014 
-1.5 -1.4 0.00053214151 0.00053086203 0.00053268956 
-1.4 -1.3 0.00059764039 0.00059540264 0.00059872198 
-1.3 -1.2 0.00066422373 0.00066206347 0.00066479109 
-1.2 -1.1 0.00073059893 0.00072885312 0.0007316566 
-1.1 -1.0 0.00079713991 0.00079459565 0.00079823376 
-1.0 -0.9 0.00085850743 0.00085626193 0.00085964997 
-0.9 -0.8 0.00092167443 0.00091871923 0.00092295036 
-0.8 -0.7 0.00097638478 0.00097398486 0.00097761191 
-0.7 -0.6 0.0010281252 0.0010250281 0.0010297119 
-0.6 -0.5 0.0010738261 0.0010709325 0.0010752889 
-0.5 -0.4 0.0011152249 0.0011126674 0.001116749 
-0.4 -0.3 0.0011458773 0.001142704 0.0011475375 
-0.3 -0.2 0.0011739758 0.0011708413 0.0011755364 
-0.2 -0.1 0.0011852882 0.0011820711 0.0011871213 
-0.1 0.0 0.0011934221 0.0011903254 0.0011949322 
0.0 0.1 0.0011946475 0.0011917118 0.0011965036 
0.1 0.2 0.0011881418 0.0011849278 0.0011899275 
0.2 0.3 0.0011733412 0.0011701813 0.0011749708 
0.3 0.4 0.0011455994 0.0011427192 0.0011469553 
0.4 0.5 0.0011137819 0.0011107205 0.0011155783 
0.5 0.6 0.001073297 0.0010703478 0.0010747142 
0.6 0.7 0.0010275919 0.0010246867 0.0010291205 
0.7 0.8 0.00097582412 0.00097311151 0.00097725467 
0.8 0.9 0.00092035395 0.00091814721 0.00092170752 
0.9 1.0 0.00085969342 0.00085709329 0.0008605851 
1.0 1.1 0.00079513148 0.00079268858 0.00079656033 
1.1 1.2 0.00073448016 0.00073233551 0.0007352894 
1.2 1.3 0.0006661554 0.0006642179 0.00066699068 
1.3 1.4 0.00059836504 0.00059637132 0.00059877721 
1.4 1.5 0.00053300983 0.0005315042 0.00053358191 
1.5 1.6 0.00046867613 0.0004671867 0.00046893683 
1.6 1.7 0.00040740484 0.000406082 0.00040811073 
1.7 1.8 0.000349804 0.00034880131 0.00035034731 
