# create_lambda_band.py -l 6 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.029161722 0.029087949 0.029209018 


# NNLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 8.1029508e-05 8.0734314e-05 8.1264073e-05 
30.0 60.0 0.00018466345 0.00018409279 0.00018510841 
60.0 90.0 0.0001946521 0.00019413244 0.00019501292 
90.0 120.0 0.00015718778 0.0001568141 0.00015742095 
120.0 150.0 0.00011288657 0.00011264483 0.00011302589 
150.0 180.0 7.6954042e-05 7.6796995e-05 7.7033969e-05 
180.0 210.0 5.1546928e-05 5.1448586e-05 5.159127e-05 
210.0 240.0 3.4464593e-05 3.4400794e-05 3.4494803e-05 
240.0 270.0 2.3227646e-05 2.3177906e-05 2.3245025e-05 
270.0 300.0 1.5823207e-05 1.5798019e-05 1.5837751e-05 


# NNLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 5.2807597e-17 0.0 2.8505831e-15 
-4.0 -3.9 3.3431298e-11 3.0612263e-11 3.6155549e-11 
-3.9 -3.8 3.1842761e-09 3.0104624e-09 3.2122551e-09 
-3.8 -3.7 4.9470691e-08 4.7155656e-08 5.2349664e-08 
-3.7 -3.6 3.2474011e-07 3.1951875e-07 3.3079072e-07 
-3.6 -3.5 1.4377662e-06 1.3982943e-06 1.4497693e-06 
-3.5 -3.4 4.427613e-06 4.3680567e-06 4.5033263e-06 
-3.4 -3.3 1.1642932e-05 1.1452833e-05 1.1750812e-05 
-3.3 -3.2 2.6079177e-05 2.5792313e-05 2.6203489e-05 
-3.2 -3.1 5.1080836e-05 5.0715872e-05 5.1252637e-05 
-3.1 -3.0 9.5460544e-05 9.5100132e-05 9.5684933e-05 
-3.0 -2.9 0.00015935491 0.00015856997 0.00015965801 
-2.9 -2.8 0.00024973275 0.00024924399 0.00025017527 
-2.8 -2.7 0.00037629963 0.00037543466 0.00037689391 
-2.7 -2.6 0.00053841726 0.00053714592 0.0005394311 
-2.6 -2.5 0.00073742495 0.00073552975 0.0007386935 
-2.5 -2.4 0.00097566514 0.00097322475 0.00097765773 
-2.4 -2.3 0.0012593875 0.0012551124 0.0012614738 
-2.3 -2.2 0.0015860252 0.0015811287 0.0015885703 
-2.2 -2.1 0.0019511152 0.0019473678 0.0019544641 
-2.1 -2.0 0.0023435786 0.0023356076 0.0023472654 
-2.0 -1.9 0.0027633169 0.0027551389 0.0027673586 
-1.9 -1.8 0.003207691 0.0031979343 0.0032137548 
-1.8 -1.7 0.0036976444 0.0036871849 0.0037037932 
-1.7 -1.6 0.0041732381 0.0041614478 0.0041804168 
-1.6 -1.5 0.0046474901 0.0046329447 0.0046556979 
-1.5 -1.4 0.005145607 0.0051309851 0.0051551887 
-1.4 -1.3 0.0056323355 0.0056164843 0.0056425359 
-1.3 -1.2 0.0060931036 0.0060769248 0.0061040676 
-1.2 -1.1 0.0065612056 0.0065438809 0.0065729874 
-1.1 -1.0 0.0069936311 0.0069765604 0.0070066341 
-1.0 -0.9 0.0074162562 0.0073964684 0.0074287227 
-0.9 -0.8 0.0077693666 0.0077503965 0.0077830569 
-0.8 -0.7 0.0081181578 0.0080986325 0.0081326325 
-0.7 -0.6 0.0084491086 0.0084287621 0.0084639111 
-0.6 -0.5 0.0087078102 0.0086852213 0.0087216259 
-0.5 -0.4 0.00894609 0.0089268714 0.0089603087 
-0.4 -0.3 0.0091145441 0.0090931772 0.0091300008 
-0.3 -0.2 0.0092612488 0.0092409888 0.0092764667 
-0.2 -0.1 0.009357352 0.0093351101 0.009371752 
-0.1 0.0 0.00937152 0.0093491249 0.009389804 
0.0 0.1 0.0093976003 0.0093788285 0.0094128027 
0.1 0.2 0.0093570492 0.0093345745 0.0093710976 
0.2 0.3 0.0092582961 0.0092361568 0.0092716285 
0.3 0.4 0.0091207561 0.0090999771 0.0091371087 
0.4 0.5 0.0089481658 0.0089283856 0.0089627837 
0.5 0.6 0.0087019469 0.008679622 0.0087151874 
0.6 0.7 0.0084441041 0.008424666 0.008459775 
0.7 0.8 0.0081198961 0.0080999175 0.0081341777 
0.8 0.9 0.0077792917 0.007760682 0.0077925762 
0.9 1.0 0.0074100678 0.0073898435 0.007422993 
1.0 1.1 0.0069918929 0.0069748539 0.0070051505 
1.1 1.2 0.0065577472 0.0065402591 0.0065701068 
1.2 1.3 0.0060951995 0.0060798146 0.0061057392 
1.3 1.4 0.0056449477 0.0056280085 0.0056544224 
1.4 1.5 0.0051315402 0.005118572 0.0051413544 
1.5 1.6 0.0046586629 0.0046454181 0.0046685512 
1.6 1.7 0.00417316 0.0041589497 0.0041802436 
1.7 1.8 0.0036820384 0.0036716862 0.0036873001 
1.8 1.9 0.003217074 0.0032071814 0.0032214166 
1.9 2.0 0.002764879 0.0027577746 0.0027693445 
2.0 2.1 0.0023429728 0.0023350062 0.0023476828 
2.1 2.2 0.0019520471 0.0019465811 0.0019545464 
2.2 2.3 0.0015850832 0.0015798487 0.0015878819 
2.3 2.4 0.0012574801 0.0012546817 0.001259222 
2.4 2.5 0.00098081432 0.00097795784 0.00098259881 
2.5 2.6 0.00073931224 0.00073700817 0.00074085404 
2.6 2.7 0.00053508873 0.00053380542 0.00053606063 
2.7 2.8 0.00037540424 0.00037477363 0.00037605396 
2.8 2.9 0.00025002752 0.00024931987 0.00025047707 
2.9 3.0 0.00015955123 0.00015903756 0.00015997838 
3.0 3.1 9.4417872e-05 9.3970202e-05 9.4600075e-05 
3.1 3.2 5.2426989e-05 5.2093396e-05 5.2707506e-05 
3.2 3.3 2.6098352e-05 2.5931199e-05 2.6262086e-05 
3.3 3.4 1.1674471e-05 1.1500103e-05 1.1755516e-05 
3.4 3.5 4.508308e-06 4.4293268e-06 4.5330657e-06 
