#  ./merge-lambda.sh
# {sqrts, center, min, max}
# LO cross-section
-10.0 0.70407189 0.68802973 0.71843172
-9.0 0.58936044 0.57587513 0.60145176
-8.0 0.48495212 0.47379472 0.49496948
-7.0 0.39083565 0.38178535 0.39897857
-6.0 0.30701886 0.29984605 0.31349562
-5.0 0.23349476 0.22797567 0.23850203
-4.0 0.1702757 0.16617831 0.17401278
-3.0 0.11735222 0.11445085 0.12002451
-2.0 0.074729291 0.072798837 0.07653444
-1.0 0.042404687 0.041216544 0.043544384
0.0 0.020377382 0.019705828 0.021052418
0.5.0 0.013224253 0.012726189 0.013741866
1.0 0.0086483701 0.0082669159 0.009059013
1.25.0 0.0073265717 0.0069816384 0.0077021291
1.5.0 0.006647367 0.0063256085 0.0070008138
1.75.0 0.0066117072 0.0062983955 0.0069555505
2.0 0.0072203864 0.0069016356 0.0075670522
3.0 0.01609381 0.015611244 0.016577445
4.0 0.035264228 0.034391515 0.036084348
5.0 0.064732339 0.063242509 0.066091758
6.0 0.1044953 0.10216198 0.10659361
7.0 0.15455734 0.15115302 0.15759528
8.0 0.21492808 0.21022601 0.21909979
9.0 0.28559048 0.27936732 0.29110499
10.0 0.3665446 0.35856755 0.37360392


# NLO cross-section
-10.0 0.68440096 0.68091354 0.68747521
-9.0 0.57291017 0.56999178 0.57547737
-8.0 0.47142853 0.4690293 0.47352991
-7.0 0.37995939 0.37802331 0.38164015
-6.0 0.29849358 0.29697445 0.29980186
-5.0 0.22703297 0.22588131 0.22801753
-4.0 0.16558637 0.16474879 0.16628748
-3.0 0.11414274 0.11356842 0.11461618
-2.0 0.072712273 0.072349552 0.073006238
-1.0 0.041288912 0.04108763 0.041446897
0.0 0.019874775 0.019783407 0.019940232
0.5.0 0.012921083 0.012865353 0.012966557
1.0 0.0084694837 0.0084368416 0.0085081192
1.25.0 0.0071829579 0.0071571097 0.0072191891
1.5.0 0.0065213344 0.0064989712 0.0065556452
1.75.0 0.0064848378 0.0064628356 0.0065180436
2.0 0.0070746497 0.0070499743 0.0071072715
3.0 0.015691977 0.015623856 0.01574121
4.0 0.034315889 0.034153545 0.034446851
5.0 0.062948556 0.062640988 0.063212766
6.0 0.10158782 0.10108372 0.10203663
7.0 0.15023524 0.14948385 0.15091326
8.0 0.20889312 0.20784403 0.20984753
9.0 0.27756318 0.2761623 0.27883861
10.0 0.35623799 0.35443599 0.35788219


# NNLO cross-section
-10.0 0.67849415 0.6766846 0.68075768
-9.0 0.56796478 0.56644691 0.5698589
-8.0 0.46736226 0.46611108 0.46891914
-7.0 0.37667991 0.37566818 0.37793386
-6.0 0.29591937 0.29512312 0.29690261
-5.0 0.22507823 0.22447031 0.22582336
-4.0 0.16416245 0.16371695 0.16470459
-3.0 0.11316487 0.11285725 0.11353577
-2.0 0.072093037 0.071895446 0.072326369
-1.0 0.040942532 0.040829382 0.041071059
0.0 0.019714686 0.019659683 0.019771523
0.5.0 0.012821878 0.012786189 0.012855355
1.0 0.0084094944 0.0083866754 0.008427812
1.25.0 0.0071345407 0.0071155939 0.0071484005
1.5.0 0.0064789982 0.0064623586 0.0064904796
1.75.0 0.0064432031 0.0064272508 0.006454416
2.0 0.0070285001 0.0070115396 0.0070413911
3.0 0.015573023 0.015535887 0.015613767
4.0 0.034038026 0.033954484 0.034139661
5.0 0.062425452 0.062269571 0.062621085
6.0 0.10073267 0.10047847 0.10105585
7.0 0.14896393 0.14858446 0.14944688
8.0 0.20711733 0.20658718 0.20779448
9.0 0.27519598 0.2744896 0.27609945
10.0 0.35319237 0.35228341 0.35435535


# N3LO cross-section
-10.0 0.67802779 0.67779706 0.67876486
-9.0 0.56757395 0.56738133 0.56819123
-8.0 0.46704051 0.46688249 0.46754871
-7.0 0.37641877 0.37628995 0.37682877
-6.0 0.2957148 0.29561365 0.29603691
-5.0 0.22492247 0.22484559 0.22516792
-4.0 0.16404872 0.16399253 0.16422777
-3.0 0.11308683 0.11304804 0.11320986
-2.0 0.072043436 0.072018795 0.072121486
-1.0 0.040914702 0.040900678 0.040958424
0.0 0.019701822 0.019694884 0.019721973
0.5.0 0.012813887 0.012809435 0.012826315
1.0 0.0084047344 0.0084019139 0.008412005
1.25.0 0.0071307755 0.007128415 0.0071365072
1.5.0 0.0064757671 0.0064736862 0.0064806247
1.75.0 0.0064401145 0.00643811 0.0064447593
2.0 0.0070251181 0.0070229416 0.0070302267
3.0 0.015564208 0.015559389 0.015577866
4.0 0.034016965 0.03400607 0.034049891
5.0 0.062385341 0.062365117 0.062448247
6.0 0.10066683 0.10063414 0.1007704
7.0 0.14886528 0.1488161 0.14902057
8.0 0.20697956 0.20691143 0.20719668
9.0 0.27501142 0.27491804 0.27530165
10.0 0.35295616 0.35283916 0.3533296


