#  ./merge-lambda-100tev.sh
# {sqrts, center, min, max}
# LO cross-section
-10.0 5.4359308 5.1603993 5.6549403
-9.0 4.5549794 4.3245508 4.737963
-8.0 3.7529464 3.5636979 3.9031611
-7.0 3.0298997 2.8776798 3.1505616
-6.0 2.3857356 2.2665558 2.4801819
-5.0 1.8205031 1.730303 1.8918975
-4.0 1.3342336 1.2689055 1.3858022
-3.0 0.92689401 0.88242576 0.9618809
-2.0 0.5985083 0.57082113 0.62014521
-1.0 0.34906936 0.33413988 0.36061708
0.0 0.17860401 0.17234953 0.18326111
0.5.0 0.12296754 0.11952733 0.12539677
1.0 0.08705967 0.085421197 0.088084635
1.25.0 0.076514705 0.075400625 0.077139245
1.5.0 0.070905965 0.070053131 0.071326588
1.75.0 0.070224491 0.06938615 0.070649657
2.0 0.074474933 0.073401158 0.075111598
3.0 0.14089861 0.13630516 0.14437365
4.0 0.28619014 0.27404376 0.29574635
5.0 0.51051044 0.48672428 0.5293834
6.0 0.81370715 0.77428554 0.84513239
7.0 1.1958826 1.1366973 1.2431003
8.0 1.6568992 1.5739593 1.7231579
9.0 2.1968876 2.0860621 2.2854188
10.0 2.8159785 2.6731594 2.9299496


# NLO cross-section
-10.0 5.2238279 5.1556772 5.3072464
-9.0 4.3772594 4.320227 4.4471876
-8.0 3.6065462 3.5595995 3.664106
-7.0 2.9116585 2.8738009 2.9580712
-6.0 2.2927248 2.2629581 2.329166
-5.0 1.7496047 1.7269508 1.7773525
-4.0 1.2823376 1.2658049 1.3025774
-3.0 0.89096094 0.87955164 0.90490335
-2.0 0.57540568 0.56813943 0.58427342
-1.0 0.3357045 0.33158971 0.34070135
0.0 0.17190752 0.16995584 0.17425484
0.5.0 0.11844844 0.1172063 0.11992628
1.0 0.083959491 0.083179389 0.084870349
1.25.0 0.073829793 0.073188578 0.074573421
1.5.0 0.068441289 0.067875765 0.069091335
1.75.0 0.067793773 0.067241893 0.068426734
2.0 0.071882751 0.071284065 0.072576318
3.0 0.13573047 0.13431936 0.13741897
4.0 0.27536651 0.27215898 0.2792525
5.0 0.49094077 0.4849367 0.49826614
6.0 0.78231017 0.77253572 0.79428184
7.0 1.1495936 1.1350477 1.1674191
8.0 1.5926292 1.5723295 1.61753
9.0 2.1115671 2.0845279 2.1447516
10.0 2.7064442 2.6716447 2.7491411


# NNLO cross-section
-10.0 5.1468263 5.1265441 5.1766606
-9.0 4.3127545 4.2957452 4.337772
-8.0 3.5534122 3.5393943 3.57404
-7.0 2.8687962 2.8574734 2.8854434
-6.0 2.2589794 2.2500582 2.272098
-5.0 1.7238843 1.7170797 1.7338925
-4.0 1.2635237 1.258537 1.2708588
-3.0 0.87793635 0.87448015 0.88302414
-2.0 0.56705761 0.56483413 0.57032736
-1.0 0.33091617 0.32963748 0.33279483
0.0 0.16956429 0.16893782 0.17048443
0.5.0 0.11691132 0.11650101 0.11750578
1.0 0.082945085 0.082677947 0.083336165
1.25.0 0.072973339 0.07275069 0.073299093
1.5.0 0.067671958 0.067475064 0.067959797
1.75.0 0.067042816 0.06685338 0.067319667
2.0 0.071080501 0.070881292 0.07137331
3.0 0.1340227 0.13359741 0.13464578
4.0 0.27164101 0.27069754 0.27302991
5.0 0.4840787 0.48232429 0.48665738
6.0 0.77120647 0.7683524 0.77540487
7.0 1.1331157 1.1288664 1.1393682
8.0 1.5696741 1.5637384 1.5784105
9.0 2.0810176 2.0731148 2.0926624
10.0 2.6671693 2.6569847 2.6821624


# N3LO cross-section
-10.0 5.1404735 5.1385188 5.147705
-9.0 4.3074205 4.3057804 4.3135033
-8.0 3.5490129 3.5476625 3.5540452
-7.0 2.8652444 2.8641406 2.869303
-6.0 2.2561783 2.2553143 2.2593915
-5.0 1.7217455 1.7210858 1.7242082
-4.0 1.2619542 1.26147 1.2637681
-3.0 0.87684635 0.87650692 0.87811371
-2.0 0.56635422 0.56613616 0.56717855
-1.0 0.3305092 0.33038212 0.33099133
0.0 0.16936295 0.16929855 0.16960644
0.5.0 0.11677812 0.11673557 0.11693746
1.0 0.082857129 0.082827766 0.082964279
1.25.0 0.072900144 0.07287526 0.072989023
1.5.0 0.067607297 0.067585799 0.067684604
1.75.0 0.066980966 0.066960091 0.067053166
2.0 0.071016495 0.070994353 0.07108949
3.0 0.13388901 0.13384681 0.13403213
4.0 0.27134779 0.271258 0.27166256
5.0 0.48353153 0.48336355 0.48412371
6.0 0.77032148 0.77004923 0.77128622
7.0 1.1317963 1.1313926 1.1332442
8.0 1.5678291 1.5672657 1.5698586
9.0 2.0785612 2.0778091 2.0812718
10.0 2.6639999 2.6630291 2.6675064


