# create_lambda_band.py -l -4.0 -lo
# LO cross-section {center, min, max}
0.1702757 0.16617831 0.17401278 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00048373125 0.00048040886 0.00048373125 
30.0 60.0 0.0011144018 0.0011005228 0.0011223934 
60.0 90.0 0.0011779511 0.001155392 0.0011965011 
90.0 120.0 0.00094150871 0.00091795838 0.00096340061 
120.0 150.0 0.00066188941 0.00064203015 0.00068160842 
150.0 180.0 0.00043855547 0.00042342044 0.00045395278 
180.0 210.0 0.00028436417 0.00027344014 0.0002957675 
210.0 240.0 0.00018427716 0.0001767169 0.0001923655 
240.0 270.0 0.00012044088 0.00011504004 0.00012618017 
270.0 300.0 7.9869766e-05 7.6072504e-05 8.3997413e-05 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.1312878e-12 2.5960618e-13 1.1312878e-12 
-4.6 -4.5 7.2521904e-10 7.2521904e-10 1.3841508e-09 
-4.5 -4.4 2.6177826e-08 2.1587152e-08 2.8306697e-08 
-4.4 -4.3 2.6925303e-07 2.1308268e-07 2.7588566e-07 
-4.3 -4.2 1.3656668e-06 1.2020036e-06 1.5975944e-06 
-4.2 -4.1 5.1289542e-06 4.7295762e-06 5.6526854e-06 
-4.1 -4.0 1.5257645e-05 1.4058022e-05 1.6697306e-05 
-4.0 -3.9 3.8882999e-05 3.5535953e-05 4.2180466e-05 
-3.9 -3.8 8.3091208e-05 7.780623e-05 9.2309452e-05 
-3.8 -3.7 0.00016986341 0.0001573314 0.00018003332 
-3.7 -3.6 0.00030480635 0.00028843499 0.00032231603 
-3.6 -3.5 0.00050662139 0.00048118632 0.00054201394 
-3.5 -3.4 0.00079878987 0.00075492286 0.0008363951 
-3.4 -3.3 0.0012045373 0.0011507667 0.0012711851 
-3.3 -3.2 0.0017504486 0.0016752936 0.0018317551 
-3.2 -3.1 0.0024177415 0.0023121875 0.0025161407 
-3.1 -3.0 0.0032214478 0.0030967021 0.003354662 
-3.0 -2.9 0.0042020948 0.0040529102 0.0043443244 
-2.9 -2.8 0.0053408977 0.0051612872 0.0055221376 
-2.8 -2.7 0.0066043103 0.0063730513 0.0068151502 
-2.7 -2.6 0.0080456725 0.0078003728 0.0082783999 
-2.6 -2.5 0.0095961214 0.0093138343 0.009884711 
-2.5 -2.4 0.011314157 0.010969278 0.0116148 
-2.4 -2.3 0.013085342 0.012731596 0.01343764 
-2.3 -2.2 0.014981793 0.014580748 0.015358739 
-2.2 -2.1 0.016917475 0.016476163 0.017329679 
-2.1 -2.0 0.018952073 0.018442148 0.019386398 
-2.0 -1.9 0.020939499 0.020432485 0.021440507 
-1.9 -1.8 0.022979657 0.022414509 0.023484967 
-1.8 -1.7 0.025049627 0.024453691 0.02562281 
-1.7 -1.6 0.027086121 0.026433543 0.027644946 
-1.6 -1.5 0.029048758 0.028361819 0.029680895 
-1.5 -1.4 0.0309612 0.030223949 0.031592989 
-1.4 -1.3 0.032781891 0.032033511 0.033432759 
-1.3 -1.2 0.034576856 0.033798412 0.035322368 
-1.2 -1.1 0.036227129 0.035378642 0.036946945 
-1.1 -1.0 0.037746286 0.036908376 0.038557293 
-1.0 -0.9 0.039163869 0.038272323 0.039957173 
-0.9 -0.8 0.040522025 0.03956993 0.041357589 
-0.8 -0.7 0.041654719 0.040710551 0.042525285 
-0.7 -0.6 0.042747966 0.041759639 0.043589529 
-0.6 -0.5 0.043623427 0.042658962 0.044516745 
-0.5 -0.4 0.044415634 0.043376002 0.045333194 
-0.4 -0.3 0.044975158 0.04399818 0.045917783 
-0.3 -0.2 0.045464799 0.044394616 0.046439311 
-0.2 -0.1 0.045814252 0.044737012 0.046704056 
-0.1 0.0 0.04590951 0.044882873 0.046865209 
0.0 0.1 0.045908804 0.044857172 0.04684941 
0.1 0.2 0.045759655 0.044701188 0.046702731 
0.2 0.3 0.045479939 0.044458772 0.046432028 
0.3 0.4 0.045013514 0.043950593 0.045959806 
0.4 0.5 0.044465526 0.043487452 0.045385309 
0.5 0.6 0.043707061 0.042696533 0.044593589 
0.6 0.7 0.042793109 0.041835863 0.043675971 
0.7 0.8 0.041696093 0.040734544 0.042517739 
0.8 0.9 0.040481005 0.039559606 0.041305247 
0.9 1.0 0.039138704 0.038283715 0.039961637 
1.0 1.1 0.037760989 0.036864889 0.038570284 
1.1 1.2 0.036221755 0.035367245 0.036915199 
1.2 1.3 0.034612179 0.033828783 0.035360375 
1.3 1.4 0.032774118 0.032000252 0.033446049 
1.4 1.5 0.030923752 0.030212401 0.031576279 
1.5 1.6 0.02907335 0.028394999 0.029672857 
1.6 1.7 0.027140874 0.026491392 0.027735582 
1.7 1.8 0.025015905 0.024432705 0.025574727 
1.8 1.9 0.023039176 0.022459618 0.023542659 
1.9 2.0 0.020963522 0.020456941 0.02144187 
