# create_lambda_band.py -l 1.5 -lo
# LO cross-section {center, min, max}
0.006647367 0.0063256085 0.0070008138 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 1.8340451e-05 1.7623216e-05 1.9073048e-05 
30.0 60.0 4.1503065e-05 3.9740003e-05 4.3369859e-05 
60.0 90.0 4.3293862e-05 4.1312774e-05 4.5465171e-05 
90.0 120.0 3.4647031e-05 3.2949266e-05 3.6510052e-05 
120.0 150.0 2.4856369e-05 2.3578708e-05 2.6274279e-05 
150.0 180.0 1.7030372e-05 1.6139573e-05 1.8036353e-05 
180.0 210.0 1.1606407e-05 1.0989601e-05 1.2318279e-05 
210.0 240.0 8.0185981e-06 7.577796e-06 8.4984414e-06 
240.0 270.0 5.6430904e-06 5.3270535e-06 6.0101568e-06 
270.0 300.0 4.0003784e-06 3.7799618e-06 4.2488632e-06 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 2.0670757e-14 7.9833912e-15 2.0670757e-14 
-4.6 -4.5 2.6614179e-11 1.5519627e-11 2.6614179e-11 
-4.5 -4.4 2.5917719e-10 2.1867562e-10 3.8079896e-10 
-4.4 -4.3 2.6107735e-09 2.2683424e-09 3.1608538e-09 
-4.3 -4.2 1.4012759e-08 1.2838421e-08 1.4012759e-08 
-4.2 -4.1 5.0119514e-08 4.4632873e-08 5.4854362e-08 
-4.1 -4.0 1.4989862e-07 1.3380839e-07 1.5971934e-07 
-4.0 -3.9 3.9863843e-07 3.7745633e-07 4.2740879e-07 
-3.9 -3.8 8.8278881e-07 8.2988121e-07 9.5783558e-07 
-3.8 -3.7 1.8399171e-06 1.7242152e-06 1.9869318e-06 
-3.7 -3.6 3.3965457e-06 3.1670666e-06 3.6619795e-06 
-3.6 -3.5 6.2339729e-06 5.8958817e-06 6.6915074e-06 
-3.5 -3.4 1.0370215e-05 9.8583973e-06 1.1006606e-05 
-3.4 -3.3 1.6308372e-05 1.5263324e-05 1.6997427e-05 
-3.3 -3.2 2.4729081e-05 2.344205e-05 2.6503949e-05 
-3.2 -3.1 3.7167845e-05 3.5285328e-05 3.8607571e-05 
-3.1 -3.0 5.1844633e-05 4.8959296e-05 5.53016e-05 
-3.0 -2.9 7.131232e-05 6.8350258e-05 7.5045613e-05 
-2.9 -2.8 9.8947846e-05 9.3717114e-05 0.00010441594 
-2.8 -2.7 0.00012947379 0.0001238455 0.0001358148 
-2.7 -2.6 0.00016646657 0.00015801553 0.00017477874 
-2.6 -2.5 0.00021254309 0.00020274466 0.00022292328 
-2.5 -2.4 0.00026338666 0.00025122509 0.00027647227 
-2.4 -2.3 0.00032389967 0.00030988686 0.00033965358 
-2.3 -2.2 0.00039469097 0.00037543817 0.00041312488 
-2.2 -2.1 0.00046290234 0.0004428817 0.00048620868 
-2.1 -2.0 0.00054482963 0.00051901257 0.00057153535 
-2.0 -1.9 0.00062831661 0.00060241426 0.00065980329 
-1.9 -1.8 0.00072386111 0.00069080062 0.00075788306 
-1.8 -1.7 0.00082266351 0.0007827238 0.00086285802 
-1.7 -1.6 0.00091966799 0.00087786698 0.00096705601 
-1.6 -1.5 0.0010273467 0.0009795726 0.0010797926 
-1.5 -1.4 0.0011328634 0.0010806807 0.0011907737 
-1.4 -1.3 0.0012372789 0.0011797598 0.0013009309 
-1.3 -1.2 0.0013473192 0.0012812061 0.0014152495 
-1.2 -1.1 0.0014497986 0.0013816704 0.0015256132 
-1.1 -1.0 0.0015499911 0.0014765157 0.0016296214 
-1.0 -0.9 0.0016429418 0.0015650105 0.0017306121 
-0.9 -0.8 0.001739037 0.0016523771 0.0018313303 
-0.8 -0.7 0.0018254894 0.0017354648 0.0019231028 
-0.7 -0.6 0.0019032896 0.0018092059 0.002009539 
-0.6 -0.5 0.00196915 0.0018731121 0.0020749136 
-0.5 -0.4 0.0020237795 0.0019228178 0.0021357851 
-0.4 -0.3 0.0020770685 0.0019724224 0.0021935937 
-0.3 -0.2 0.0021066734 0.0020036184 0.0022257413 
-0.2 -0.1 0.0021334156 0.0020247359 0.0022506561 
