# create_lambda_band.py -l -9.0 -n3lo
# N3LO cross-section {center, min, max}
0.56757395 0.56738133 0.56819123 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0015643963 0.0015633481 0.0015672188 
30.0 60.0 0.0036178033 0.0036160603 0.0036231119 
60.0 90.0 0.003853921 0.0038525638 0.0038584197 
90.0 120.0 0.0031143265 0.003113465 0.0031173844 
120.0 150.0 0.002219552 0.0022190847 0.0022213406 
150.0 180.0 0.001490352 0.0014900795 0.0014913942 
180.0 210.0 0.00098228249 0.0009820336 0.00098292217 
210.0 240.0 0.00064564513 0.00064553895 0.00064606881 
240.0 270.0 0.00042795438 0.00042778212 0.00042822102 
270.0 300.0 0.00028804255 0.00028799138 0.00028822591 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.5569669e-11 1.4318264e-11 6.131281e-11 
-4.6 -4.5 5.1610909e-09 5.0362987e-09 5.356575e-09 
-4.5 -4.4 1.6024214e-07 1.5984061e-07 1.6405247e-07 
-4.4 -4.3 1.4247311e-06 1.3894888e-06 1.4376978e-06 
-4.3 -4.2 6.829372e-06 6.815032e-06 6.8740872e-06 
-4.2 -4.1 2.4505237e-05 2.4302645e-05 2.4575333e-05 
-4.1 -4.0 7.2905681e-05 7.264096e-05 7.303002e-05 
-4.0 -3.9 0.0001736766 0.00017311141 0.00017380302 
-3.9 -3.8 0.00037170952 0.00037006951 0.00037219565 
-3.8 -3.7 0.00072108985 0.00072016944 0.00072212359 
-3.7 -3.6 0.001249267 0.0012471632 0.0012508828 
-3.6 -3.5 0.0020403443 0.0020380733 0.0020430255 
-3.5 -3.4 0.0032005932 0.0031989108 0.0032069777 
-3.4 -3.3 0.004743433 0.0047373293 0.004750727 
-3.3 -3.2 0.0067153588 0.0067074295 0.0067302736 
-3.2 -3.1 0.0090901194 0.0090794929 0.0091069288 
-3.1 -3.0 0.012082719 0.012072123 0.01210332 
-3.0 -2.9 0.015533278 0.015519324 0.015564955 
-2.9 -2.8 0.019452625 0.019432386 0.019492433 
-2.8 -2.7 0.02386191 0.02386008 0.023911996 
-2.7 -2.6 0.028764154 0.028730423 0.028807135 
-2.6 -2.5 0.034210429 0.034184194 0.034283812 
-2.5 -2.4 0.039811055 0.039781005 0.039870195 
-2.4 -2.3 0.045695253 0.045670025 0.045777337 
-2.3 -2.2 0.052020483 0.051993641 0.05209648 
-2.2 -2.1 0.058442191 0.058402756 0.058541174 
-2.1 -2.0 0.064953568 0.064932177 0.065046805 
-2.0 -1.9 0.071504517 0.071449113 0.071607618 
-1.9 -1.8 0.078126995 0.078087353 0.078230467 
-1.8 -1.7 0.08465126 0.084632978 0.084749832 
-1.7 -1.6 0.091163895 0.091124499 0.091280656 
-1.6 -1.5 0.097303637 0.097274336 0.097423261 
-1.5 -1.4 0.10323604 0.10319542 0.10336694 
-1.4 -1.3 0.10922611 0.10919045 0.10933434 
-1.3 -1.2 0.11472029 0.11467587 0.11484261 
-1.2 -1.1 0.11979401 0.11975998 0.11993163 
-1.1 -1.0 0.12444144 0.12439566 0.1245503 
-1.0 -0.9 0.12899516 0.12894654 0.12913399 
-0.9 -0.8 0.13288175 0.13284193 0.13298756 
-0.8 -0.7 0.13677497 0.13674495 0.13691643 
-0.7 -0.6 0.14001741 0.13996406 0.14012962 
-0.6 -0.5 0.14250836 0.14245362 0.14263249 
-0.5 -0.4 0.145148 0.14509822 0.14527003 
-0.4 -0.3 0.14683172 0.14678572 0.1469525 
-0.3 -0.2 0.14806115 0.14801821 0.14818388 
-0.2 -0.1 0.14925949 0.14922735 0.14935965 
-0.1 0.0 0.14966188 0.14959847 0.14977702 
0.0 0.1 0.1495632 0.14953842 0.14970095 
0.1 0.2 0.14908153 0.14902374 0.14919274 
0.2 0.3 0.14823293 0.14818727 0.14835935 
0.3 0.4 0.14688604 0.14686082 0.14700416 
0.4 0.5 0.14499129 0.1449374 0.14511482 
0.5 0.6 0.14297566 0.14293335 0.14310075 
0.6 0.7 0.14005475 0.14002288 0.14017849 
0.7 0.8 0.13699248 0.13694095 0.13712409 
0.8 0.9 0.13271018 0.13267332 0.13281889 
0.9 1.0 0.12900935 0.12896572 0.12913593 
1.0 1.1 0.12470681 0.12466519 0.12483568 
1.1 1.2 0.11976732 0.11973688 0.11988765 
1.2 1.3 0.11445157 0.11439805 0.11457105 
1.3 1.4 0.10909417 0.10906446 0.10921304 
1.4 1.5 0.10334438 0.10330981 0.10345554 
1.5 1.6 0.097443221 0.097407567 0.097561125 
1.6 1.7 0.09115081 0.09112251 0.091270594 
1.7 1.8 0.084741037 0.084711137 0.084850566 
1.8 1.9 0.078134316 0.078102339 0.078254874 
1.9 2.0 0.071647641 0.071615977 0.071729513 
2.0 2.1 0.06492655 0.064894635 0.065032151 
2.1 2.2 0.058441585 0.058391939 0.058530333 
2.2 2.3 0.051943798 0.051925449 0.052021905 
2.3 2.4 0.045839329 0.045802373 0.045921832 
2.4 2.5 0.03978532 0.039765151 0.039862113 
2.5 2.6 0.034032181 0.034002326 0.034091174 
2.6 2.7 0.028830581 0.028813065 0.028878584 
2.7 2.8 0.023883982 0.023858487 0.023929542 
2.8 2.9 0.019516753 0.019506749 0.01954951 
2.9 3.0 0.015511481 0.015497882 0.015545916 
3.0 3.1 0.012042938 0.012038202 0.01206955 
3.1 3.2 0.0091287091 0.0091137966 0.0091462873 
3.2 3.3 0.0066586679 0.0066485745 0.0066676742 
3.3 3.4 0.0047406102 0.0047361868 0.0047531717 
3.4 3.5 0.003232375 0.003226391 0.0032350942 
3.5 3.6 0.0020612277 0.0020583065 0.0020637254 
3.6 3.7 0.0012573941 0.0012562287 0.0012593386 
3.7 3.8 0.0007176334 0.00071580407 0.00071808078 
3.8 3.9 0.00037545335 0.00037461762 0.00037592907 
3.9 4.0 0.00017607932 0.00017571075 0.00017661732 
4.0 4.1 7.5707918e-05 7.5494727e-05 7.5849371e-05 
4.1 4.2 2.6618411e-05 2.6487132e-05 2.6724632e-05 
4.2 4.3 7.1389631e-06 7.0032578e-06 7.1879626e-06 
4.3 4.4 1.4344515e-06 1.4189682e-06 1.4591415e-06 
4.4 4.5 1.5606506e-07 1.50857e-07 1.5836136e-07 
4.5 4.6 5.888961e-09 5.7896751e-09 6.0981664e-09 
4.6 4.7 1.5816289e-11 7.6042958e-12 1.8748284e-11 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.0020513136 0.0020506047 0.0020537107 
400.0 600.0 0.00059169267 0.00059149885 0.00059225035 
600.0 800.0 0.00012657727 0.00012654116 0.00012667681 
800.0 1000.0 3.8818744e-05 3.8807927e-05 3.8845869e-05 
1000.0 1200.0 1.4851408e-05 1.4839531e-05 1.4855213e-05 
1200.0 1400.0 6.6581183e-06 6.6562132e-06 6.6605763e-06 
1400.0 1600.0 3.2808576e-06 3.2777197e-06 3.2827301e-06 
1600.0 1800.0 1.7407334e-06 1.7407334e-06 1.7455849e-06 
1800.0 2000.0 1.0531382e-06 1.0506763e-06 1.0531382e-06 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.093987177 0.093955974 0.094070151 
0.31415927 0.62831853 0.093742246 0.093720418 0.093819616 
0.62831853 0.9424778 0.095795283 0.095772012 0.095882708 
0.9424778 1.2566371 0.10201047 0.10198202 0.10210671 
1.2566371 1.5707963 0.11417615 0.11413861 0.1142827 
1.5707963 1.8849556 0.13515359 0.13511172 0.13528248 
1.8849556 2.1991149 0.17010052 0.17005951 0.17027998 
2.1991149 2.5132741 0.22739391 0.22731768 0.22763691 
2.5132741 2.8274334 0.32209003 0.32197872 0.32247398 
2.8274334 3.1415927 0.45219462 0.45198899 0.45277362 


# N3LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 0.00016888543 0.00016876548 0.00016920326 
30.0 60.0 0.0015497224 0.0015489805 0.0015522604 
