# create_lambda_band.py -l 0.8
# N3LO cross-section {center, min, max}
0.0098703302 0.0098669748 0.0098793215 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 3.0347794e-05 3.0325604e-05 3.0392585e-05 
30.0 60.0 6.8309123e-05 6.8272472e-05 6.8388396e-05 
60.0 90.0 6.9980556e-05 6.9956337e-05 7.0046841e-05 
90.0 120.0 5.4100026e-05 5.4088657e-05 5.4142289e-05 
120.0 150.0 3.6872254e-05 3.6862037e-05 3.6891728e-05 
150.0 180.0 2.3724189e-05 2.372155e-05 2.374062e-05 
180.0 210.0 1.5079962e-05 1.5077164e-05 1.5088051e-05 
210.0 240.0 9.6320288e-06 9.6291314e-06 9.6393291e-06 
240.0 270.0 6.2328154e-06 6.232116e-06 6.2357086e-06 
270.0 300.0 4.148308e-06 4.1476924e-06 4.150916e-06 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 2.7393418e-14 1.8301274e-14 6.7763588e-14 
-4.6 -4.5 3.8318006e-11 3.8318006e-11 4.9107267e-11 
-4.5 -4.4 7.4671125e-10 6.6828472e-10 7.9812603e-10 
-4.4 -4.3 5.8915277e-09 5.7038917e-09 6.1740746e-09 
-4.3 -4.2 4.0590066e-08 4.0298912e-08 4.1878165e-08 
-4.2 -4.1 1.4453475e-07 1.4232426e-07 1.4530069e-07 
-4.1 -4.0 3.9744926e-07 3.965346e-07 4.0232934e-07 
-4.0 -3.9 9.8839358e-07 9.7860231e-07 9.9025171e-07 
-3.9 -3.8 2.427339e-06 2.4184491e-06 2.4328936e-06 
-3.8 -3.7 4.7411146e-06 4.7158711e-06 4.7721372e-06 
-3.7 -3.6 8.647833e-06 8.6129244e-06 8.6539076e-06 
-3.6 -3.5 1.4852349e-05 1.483685e-05 1.487599e-05 
-3.5 -3.4 2.4621906e-05 2.4561144e-05 2.4644275e-05 
-3.4 -3.3 3.7190858e-05 3.7158703e-05 3.7281683e-05 
-3.3 -3.2 5.6120147e-05 5.59948e-05 5.6241095e-05 
-3.2 -3.1 8.013224e-05 8.0031276e-05 8.0285597e-05 
-3.1 -3.0 0.00011051538 0.00011032974 0.00011072949 
-3.0 -2.9 0.00014978621 0.00014976714 0.00014995118 
-2.9 -2.8 0.00019894996 0.00019857109 0.00019923053 
-2.8 -2.7 0.00025252102 0.00025243994 0.00025311681 
-2.7 -2.6 0.00031869391 0.00031825532 0.0003191858 
-2.6 -2.5 0.00039299062 0.0003926351 0.00039378255 
-2.5 -2.4 0.00047553029 0.00047484419 0.00047625691 
-2.4 -2.3 0.00057272882 0.00057232344 0.00057349752 
-2.3 -2.2 0.00067778814 0.00067712748 0.00067885475 
-2.2 -2.1 0.00078853479 0.00078773885 0.0007893372 
-2.1 -2.0 0.00090637725 0.00090631197 0.00090814299 
-2.0 -1.9 0.0010337143 0.0010323485 0.0010343821 
-1.9 -1.8 0.00116347 0.0011628556 0.0011649909 
-1.8 -1.7 0.0012981992 0.0012975042 0.0012999024 
-1.7 -1.6 0.0014407318 0.0014400683 0.0014426418 
-1.6 -1.5 0.0015860967 0.0015858222 0.0015880902 
-1.5 -1.4 0.0017250393 0.0017244197 0.0017264802 
-1.4 -1.3 0.0018644529 0.0018637332 0.0018666634 
-1.3 -1.2 0.0020060027 0.0020047355 0.0020072997 
-1.2 -1.1 0.0021411016 0.0021400296 0.0021436402 
-1.1 -1.0 0.0022701682 0.0022687158 0.0022712358 
-1.0 -0.9 0.0023887727 0.0023887727 0.0023916429 
-0.9 -0.8 0.0025131519 0.0025125057 0.0025147813 
-0.8 -0.7 0.0026125456 0.0026116703 0.002614785 
-0.7 -0.6 0.002702683 0.0027018137 0.0027051786 
-0.6 -0.5 0.0027884696 0.002787331 0.002789516 
-0.5 -0.4 0.0028625917 0.002862298 0.0028654517 
-0.4 -0.3 0.0029229967 0.0029217171 0.0029240312 
-0.3 -0.2 0.0029618434 0.0029611836 0.0029638042 
-0.2 -0.1 0.0029868646 0.0029855068 0.0029890554 
-0.1 0.0 0.0030066689 0.0030064854 0.003008788 
0.0 0.1 0.0030079554 0.0030069114 0.0030103124 
0.1 0.2 0.0029900876 0.0029894716 0.0029923488 
0.2 0.3 0.002965789 0.0029647685 0.0029672424 
0.3 0.4 0.0029208213 0.0029193629 0.0029225203 
0.4 0.5 0.0028674531 0.0028659193 0.0028694638 
0.5 0.6 0.0027807762 0.0027807762 0.0027832933 
0.6 0.7 0.0027066697 0.0027064752 0.002708774 
0.7 0.8 0.0026117549 0.0026107342 0.0026127498 
0.8 0.9 0.0025055915 0.0025040919 0.002508243 
0.9 1.0 0.0023935327 0.0023933256 0.0023956299 
1.0 1.1 0.0022615466 0.0022604173 0.0022630187 
1.1 1.2 0.0021388842 0.0021382154 0.0021411659 
