# create_lambda_band.py -l 1.0 -n3lo
# N3LO cross-section {center, min, max}
0.0084047344 0.0084019139 0.008412005 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 2.5458922e-05 2.5438629e-05 2.5494054e-05 
30.0 60.0 5.7235079e-05 5.7208944e-05 5.7298516e-05 
60.0 90.0 5.872825e-05 5.8706246e-05 5.8779481e-05 
90.0 120.0 4.560724e-05 4.5598125e-05 4.5639868e-05 
120.0 150.0 3.1294169e-05 3.1286718e-05 3.1316571e-05 
150.0 180.0 2.033851e-05 2.0335667e-05 2.0349874e-05 
180.0 210.0 1.3118776e-05 1.3116088e-05 1.3125039e-05 
210.0 240.0 8.5436161e-06 8.5406541e-06 8.5483331e-06 
240.0 270.0 5.626526e-06 5.6257894e-06 5.6298982e-06 
270.0 300.0 3.8130172e-06 3.8110616e-06 3.816134e-06 


# N3LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 8.4938931e-14 5.2845004e-14 8.4938931e-14 
-4.6 -4.5 1.7880426e-11 1.5442241e-11 1.848392e-11 
-4.5 -4.4 5.4370209e-10 5.0540523e-10 5.4537718e-10 
-4.4 -4.3 5.8445195e-09 5.7679147e-09 6.1563694e-09 
-4.3 -4.2 2.2459742e-08 2.2231048e-08 2.2684542e-08 
-4.2 -4.1 9.637806e-08 9.506984e-08 9.6786128e-08 
-4.1 -4.0 2.714105e-07 2.7034807e-07 2.7329594e-07 
-4.0 -3.9 7.3059515e-07 7.2548326e-07 7.3265077e-07 
-3.9 -3.8 1.6277942e-06 1.6132531e-06 1.6380625e-06 
-3.8 -3.7 3.2963782e-06 3.2776485e-06 3.3003385e-06 
-3.7 -3.6 6.0564423e-06 6.0457021e-06 6.0885661e-06 
-3.6 -3.5 1.082938e-05 1.0785161e-05 1.0864289e-05 
-3.5 -3.4 1.7824084e-05 1.776247e-05 1.7830416e-05 
-3.4 -3.3 2.7166821e-05 2.7134654e-05 2.7241633e-05 
-3.3 -3.2 4.2335931e-05 4.2096296e-05 4.2403912e-05 
-3.2 -3.1 5.9567076e-05 5.9567076e-05 5.9671072e-05 
-3.1 -3.0 8.3845535e-05 8.3782993e-05 8.3939132e-05 
-3.0 -2.9 0.00011546465 0.0001151951 0.00011566147 
-2.9 -2.8 0.00015335558 0.000153196 0.00015360472 
-2.8 -2.7 0.00019745808 0.00019715282 0.00019769639 
-2.7 -2.6 0.00024824246 0.00024816845 0.00024881051 
-2.6 -2.5 0.00031386306 0.00031349075 0.00031405436 
-2.5 -2.4 0.00038197771 0.0003817937 0.00038271038 
-2.4 -2.3 0.00046103541 0.00046067697 0.0004617368 
-2.3 -2.2 0.00054982177 0.00054960248 0.00055063316 
-2.2 -2.1 0.00064462852 0.00064410103 0.00064575847 
-2.1 -2.0 0.00074389466 0.00074333876 0.00074481246 
-2.0 -1.9 0.00085470186 0.00085381289 0.00085558887 
-1.9 -1.8 0.00096755297 0.00096675237 0.0009687154 
-1.8 -1.7 0.0010858338 0.0010855472 0.0010870858 
-1.7 -1.6 0.0012085548 0.0012078277 0.0012099446 
-1.6 -1.5 0.0013338577 0.001333246 0.0013349149 
-1.5 -1.4 0.0014573231 0.0014572678 0.0014591747 
-1.4 -1.3 0.0015835249 0.0015825256 0.0015850345 
-1.3 -1.2 0.0017057306 0.0017046725 0.001707625 
-1.2 -1.1 0.0018268608 0.0018261356 0.0018282235 
-1.1 -1.0 0.0019451875 0.0019444798 0.0019464902 
-1.0 -0.9 0.0020521246 0.0020514509 0.0020541341 
-0.9 -0.8 0.0021576108 0.0021566913 0.0021595318 
-0.8 -0.7 0.0022524683 0.0022513209 0.0022535639 
-0.7 -0.6 0.0023347387 0.0023343499 0.0023368391 
