# create_lambda_band.py -l -5.0 -nlo
# NLO cross-section {center, min, max}
0.22703297 0.22588131 0.22801753 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00063976155 0.00063506375 0.00064520978 
30.0 60.0 0.0014734056 0.0014641186 0.0014839042 
60.0 90.0 0.001559865 0.0015514566 0.0015684416 
90.0 120.0 0.0012511947 0.0012450867 0.0012563373 
120.0 150.0 0.00088363617 0.0008799014 0.00088668518 
150.0 180.0 0.00058842067 0.00058601044 0.00059034255 
180.0 210.0 0.00038374738 0.00038240859 0.00038522575 
210.0 240.0 0.00024984745 0.00024894926 0.00025082722 
240.0 270.0 0.0001643053 0.00016373506 0.00016498675 
270.0 300.0 0.00010958691 0.00010923685 0.00011007652 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.1890742e-11 1.2059386e-12 1.1890742e-11 
-4.6 -4.5 1.5963121e-09 1.1961815e-09 1.9384904e-09 
-4.5 -4.4 4.8626426e-08 4.1565476e-08 6.0833145e-08 
-4.4 -4.3 4.4843775e-07 4.3225418e-07 4.7594979e-07 
-4.3 -4.2 2.4329203e-06 2.3128192e-06 2.6171042e-06 
-4.2 -4.1 9.1717713e-06 8.7613289e-06 9.2908125e-06 
-4.1 -4.0 2.6933274e-05 2.5752941e-05 2.7964539e-05 
-4.0 -3.9 6.3868985e-05 6.2645195e-05 6.5002758e-05 
-3.9 -3.8 0.00014041748 0.00013756505 0.00014439299 
-3.8 -3.7 0.00027168304 0.00026622438 0.00027355164 
-3.7 -3.6 0.00047239356 0.00046775288 0.0004823007 
-3.6 -3.5 0.00078457754 0.00077410057 0.00079288763 
-3.5 -3.4 0.001223839 0.0012102836 0.0012447745 
-3.4 -3.3 0.0018361782 0.001822631 0.0018531945 
-3.3 -3.2 0.0025940401 0.0025802639 0.002621344 
-3.2 -3.1 0.0035530234 0.0035219713 0.0035740868 
-3.1 -3.0 0.0047057072 0.0046803409 0.0047374567 
-3.0 -2.9 0.0060820025 0.006057685 0.0061320377 
-2.9 -2.8 0.0076293337 0.007590992 0.0076796149 
-2.8 -2.7 0.0093924055 0.0093371404 0.0094601254 
-2.7 -2.6 0.011291909 0.011253682 0.011374976 
-2.6 -2.5 0.013486741 0.01340427 0.0135747 
-2.5 -2.4 0.015741622 0.015649996 0.01584932 
-2.4 -2.3 0.018150852 0.018053304 0.018263687 
-2.3 -2.2 0.020620342 0.020501013 0.020744354 
-2.2 -2.1 0.023166168 0.023017884 0.023313431 
-2.1 -2.0 0.025823361 0.025687129 0.025966865 
-2.0 -1.9 0.028441052 0.028275069 0.028614391 
-1.9 -1.8 0.031065591 0.030912446 0.031234097 
-1.8 -1.7 0.033802581 0.033580609 0.033972199 
-1.7 -1.6 0.036364928 0.036179066 0.03654916 
-1.6 -1.5 0.038887748 0.038667401 0.039066034 
-1.5 -1.4 0.041291583 0.041052801 0.041489718 
-1.4 -1.3 0.043662743 0.043433711 0.043872966 
-1.3 -1.2 0.045979745 0.045722798 0.046206585 
-1.2 -1.1 0.047947408 0.047702171 0.048171944 
-1.1 -1.0 0.049974751 0.049732299 0.050212846 
-1.0 -0.9 0.051738383 0.051469428 0.051989494 
-0.9 -0.8 0.053342958 0.053075947 0.053587238 
-0.8 -0.7 0.054903979 0.054631404 0.055172577 
-0.7 -0.6 0.05618353 0.055873485 0.056473755 
-0.6 -0.5 0.057262229 0.056963593 0.057557177 
-0.5 -0.4 0.058334777 0.058006313 0.058623458 
-0.4 -0.3 0.058995985 0.058660405 0.059299169 
-0.3 -0.2 0.059548735 0.05922562 0.059838378 
-0.2 -0.1 0.060027517 0.059687721 0.060316339 
-0.1 0.0 0.060183537 0.059834349 0.060497072 
0.0 0.1 0.060123927 0.059777391 0.060406429 
0.1 0.2 0.059943017 0.059607451 0.060270863 
0.2 0.3 0.059659139 0.059316071 0.059947121 
0.3 0.4 0.059036776 0.058704774 0.059324891 
0.4 0.5 0.058324524 0.058002748 0.058605415 
0.5 0.6 0.057397658 0.057079853 0.057708221 
0.6 0.7 0.056252526 0.055962125 0.056519049 
0.7 0.8 0.054968524 0.054677183 0.05524628 
0.8 0.9 0.053268427 0.053009579 0.053532529 
0.9 1.0 0.051755303 0.051492792 0.052020001 
1.0 1.1 0.04997528 0.049711583 0.050197103 
1.1 1.2 0.047932722 0.047689387 0.048200475 
1.2 1.3 0.045937648 0.045670552 0.046126171 
1.3 1.4 0.043668304 0.043439518 0.04387322 
1.4 1.5 0.041331989 0.041092784 0.041535575 
1.5 1.6 0.038866112 0.038672499 0.039044274 
1.6 1.7 0.036415166 0.036199003 0.036599249 
1.7 1.8 0.033806069 0.033627701 0.033987122 
1.8 1.9 0.031111241 0.030931949 0.031275512 
1.9 2.0 0.028458182 0.028295237 0.028614407 
2.0 2.1 0.025857911 0.025703874 0.026013971 
2.1 2.2 0.023184091 0.023064996 0.023317356 
2.2 2.3 0.020590888 0.020476876 0.020717321 
2.3 2.4 0.01814876 0.018030882 0.018256535 
2.4 2.5 0.015724076 0.015645857 0.015841297 
2.5 2.6 0.013420389 0.013342891 0.013510378 
2.6 2.7 0.011342175 0.011293728 0.0114295 
2.7 2.8 0.0093941296 0.0093461642 0.0094558743 
2.8 2.9 0.0076415325 0.0076112569 0.0077016703 
2.9 3.0 0.0060688755 0.0060407002 0.006110782 
3.0 3.1 0.0047055769 0.00468498 0.0047433716 
3.1 3.2 0.00356385 0.0035336993 0.0035882054 
3.2 3.3 0.002581222 0.0025700426 0.0026036222 
3.3 3.4 0.0018351124 0.0018161384 0.0018587439 
3.4 3.5 0.001243591 0.0012278145 0.0012552004 
3.5 3.6 0.00078831687 0.00078379976 0.00079973483 
3.6 3.7 0.00047969684 0.0004718173 0.00048725476 
3.7 3.8 0.00027113102 0.00026784454 0.00027692534 
3.8 3.9 0.000141191 0.00013713174 0.00014383899 
3.9 4.0 6.4590786e-05 6.3219986e-05 6.6416865e-05 
4.0 4.1 2.7793525e-05 2.6885422e-05 2.7934954e-05 
4.1 4.2 9.9823008e-06 9.4895914e-06 1.0118253e-05 
4.2 4.3 2.428899e-06 2.3554223e-06 2.7049589e-06 
4.3 4.4 5.2427622e-07 4.7633563e-07 5.2759032e-07 
4.4 4.5 5.3400206e-08 4.6537921e-08 6.0360651e-08 
4.5 4.6 1.5949042e-09 1.1868458e-09 1.7300736e-09 
4.6 4.7 4.5387874e-12 6.9059117e-13 6.0628909e-12 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00079308404 0.00078857758 0.00079794849 
