# create_lambda_band.py -l 10.0 -nlo
# NLO cross-section {center, min, max}
0.35623799 0.35443599 0.35788219 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00091054502 0.00090366904 0.00091883173 
30.0 60.0 0.0021245508 0.0021108172 0.0021408031 
60.0 90.0 0.0023069436 0.0022942048 0.0023209371 
90.0 120.0 0.0019127603 0.0019033972 0.0019219149 
120.0 150.0 0.0014050706 0.0013987634 0.0014101346 
150.0 180.0 0.00097646184 0.00097253334 0.00097968083 
180.0 210.0 0.00066570682 0.00066325409 0.00066788469 
210.0 240.0 0.0004536584 0.00045209701 0.00045535059 
240.0 270.0 0.00031045956 0.00030946676 0.00031168456 
270.0 300.0 0.00021612777 0.00021547893 0.00021698349 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 8.8668461e-12 2.8027999e-12 1.583996e-11 
-4.6 -4.5 3.1845345e-09 2.9005892e-09 3.8648162e-09 
-4.5 -4.4 8.8167949e-08 8.5399057e-08 9.6046442e-08 
-4.4 -4.3 8.8129196e-07 8.1651389e-07 9.0956402e-07 
-4.3 -4.2 4.6210647e-06 4.3647352e-06 4.757363e-06 
-4.2 -4.1 1.6237319e-05 1.5798294e-05 1.6836851e-05 
-4.1 -4.0 4.7243434e-05 4.5395844e-05 4.8123371e-05 
-4.0 -3.9 0.00011841212 0.00011358761 0.00012108088 
-3.9 -3.8 0.00024714807 0.00024563832 0.00025219707 
-3.8 -3.7 0.00047767619 0.00046803981 0.00048465382 
-3.7 -3.6 0.00082947578 0.00082125792 0.00084363887 
-3.6 -3.5 0.0013695378 0.001349366 0.00138188 
-3.5 -3.4 0.0021258823 0.0021104569 0.0021517674 
-3.4 -3.3 0.0031505636 0.0031170209 0.0031845442 
-3.3 -3.2 0.0044265501 0.0044060447 0.0044666829 
-3.2 -3.1 0.0059969856 0.0059609477 0.0060323977 
-3.1 -3.0 0.0079587559 0.0079168102 0.0080213412 
-3.0 -2.9 0.010190267 0.010145155 0.010246284 
-2.9 -2.8 0.012644817 0.012580456 0.012758963 
-2.8 -2.7 0.015550098 0.01547257 0.015662428 
-2.7 -2.6 0.018717901 0.018616548 0.018820928 
-2.6 -2.5 0.022071384 0.021970115 0.02224712 
-2.5 -2.4 0.02567461 0.025538864 0.025835665 
-2.4 -2.3 0.02935114 0.029158453 0.029545826 
-2.3 -2.2 0.033405096 0.033207904 0.033624519 
-2.2 -2.1 0.037311833 0.037105872 0.037524487 
-2.1 -2.0 0.041315522 0.041065134 0.041551325 
-2.0 -1.9 0.04546524 0.045203881 0.045738983 
-1.9 -1.8 0.049522371 0.049237651 0.049765301 
-1.8 -1.7 0.053410985 0.053125764 0.053702668 
-1.7 -1.6 0.057618954 0.057273344 0.057890286 
-1.6 -1.5 0.061198979 0.060877835 0.061520043 
-1.5 -1.4 0.06495105 0.064568413 0.065265787 
-1.4 -1.3 0.068474739 0.06812223 0.068846469 
-1.3 -1.2 0.071796516 0.07140594 0.07215231 
-1.2 -1.1 0.07485019 0.074451627 0.075261973 
-1.1 -1.0 0.077762705 0.077389919 0.078093589 
-1.0 -0.9 0.080573046 0.080166619 0.081000379 
-0.9 -0.8 0.082791939 0.082381674 0.08323572 
-0.8 -0.7 0.085226833 0.08475269 0.085676033 
-0.7 -0.6 0.087009037 0.086561681 0.087485709 
-0.6 -0.5 0.088599028 0.088103801 0.08906407 
-0.5 -0.4 0.090244401 0.089742184 0.090715921 
-0.4 -0.3 0.091120477 0.090618768 0.091578986 
-0.3 -0.2 0.091865507 0.091377141 0.092366005 
-0.2 -0.1 0.092679239 0.09213632 0.093174967 
-0.1 0.0 0.092857837 0.09234906 0.093326337 
0.0 0.1 0.092958881 0.092445407 0.093448728 
0.1 0.2 0.092531109 0.09199784 0.093068138 
0.2 0.3 0.091983565 0.091452707 0.092430735 
0.3 0.4 0.09110986 0.090628325 0.091579705 
0.4 0.5 0.090128457 0.089644392 0.090653325 
0.5 0.6 0.088783528 0.088278798 0.089190843 
0.6 0.7 0.087255232 0.086787457 0.087739728 
0.7 0.8 0.085184333 0.084766164 0.085624669 
0.8 0.9 0.082835784 0.082382058 0.08329923 
0.9 1.0 0.080507689 0.080126411 0.080873801 
1.0 1.1 0.07782067 0.077466171 0.078242083 
1.1 1.2 0.074927989 0.074503071 0.075306287 
1.2 1.3 0.071818273 0.071417517 0.072200617 
1.3 1.4 0.068365908 0.068009141 0.068695198 
1.4 1.5 0.064907011 0.064535533 0.065224321 
1.5 1.6 0.061215325 0.060896842 0.061519317 
1.6 1.7 0.05757653 0.057254965 0.057866855 
1.7 1.8 0.053504181 0.053170777 0.053776535 
1.8 1.9 0.049550784 0.049280275 0.049821275 
1.9 2.0 0.045479277 0.045227292 0.045732168 
2.0 2.1 0.041294654 0.041061498 0.041525109 
2.1 2.2 0.037242819 0.037007218 0.037488691 
2.2 2.3 0.033264042 0.033092139 0.033469578 
2.3 2.4 0.029481317 0.029277307 0.029663054 
2.4 2.5 0.025697611 0.025589795 0.025881374 
2.5 2.6 0.022033663 0.021905818 0.022174281 
2.6 2.7 0.018715566 0.018604464 0.01883138 
2.7 2.8 0.015495199 0.015434022 0.015619829 
2.8 2.9 0.012764761 0.012694326 0.012847353 
2.9 3.0 0.010141768 0.010109355 0.010217398 
3.0 3.1 0.007951005 0.0079177242 0.0080101098 
3.1 3.2 0.0060118737 0.0059745814 0.0060629209 
3.2 3.3 0.0044034228 0.0043768207 0.0044486948 
3.3 3.4 0.0031509894 0.0031297891 0.0031699604 
3.4 3.5 0.0021302401 0.0021058366 0.002156232 
3.5 3.6 0.0013799468 0.0013631913 0.0013976117 
3.6 3.7 0.00083217862 0.00082170786 0.00084572393 
3.7 3.8 0.00048244569 0.00047555807 0.00048990483 
3.8 3.9 0.00025089616 0.00024321607 0.00025605343 
