# create_lambda_band.py -l -4.0 -nnlo
# NNLO cross-section {center, min, max}
0.16416245 0.16371695 0.16470459 


# NNLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00046524776 0.00046345232 0.00046764904 
30.0 60.0 0.0010711844 0.0010676212 0.0010759069 
60.0 90.0 0.0011325922 0.0011293686 0.0011367109 
90.0 120.0 0.00090654536 0.00090425463 0.00090930926 
120.0 150.0 0.00063847233 0.00063699398 0.00064012812 
150.0 180.0 0.00042380854 0.0004229172 0.00042478747 
180.0 210.0 0.00027550993 0.000274894 0.00027605784 
210.0 240.0 0.00017865432 0.00017833478 0.00017897712 
240.0 270.0 0.00011705911 0.00011683619 0.00011727906 
270.0 300.0 7.7751767e-05 7.7631151e-05 7.7870415e-05 


# NNLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 3.0813124e-12 1.5794768e-12 3.9932896e-12 
-4.6 -4.5 1.1257943e-09 1.0848856e-09 1.8809106e-09 
-4.5 -4.4 4.3100819e-08 4.2192088e-08 4.3677266e-08 
-4.4 -4.3 3.4450473e-07 3.3493283e-07 3.5652467e-07 
-4.3 -4.2 1.8496828e-06 1.8121662e-06 1.8757355e-06 
-4.2 -4.1 6.5760072e-06 6.457278e-06 6.700498e-06 
-4.1 -4.0 1.9796557e-05 1.969618e-05 1.9919049e-05 
-4.0 -3.9 4.7824758e-05 4.7226576e-05 4.8173794e-05 
-3.9 -3.8 0.00010210045 0.00010156348 0.00010256562 
-3.8 -3.7 0.00019478482 0.00019435556 0.00019571375 
-3.7 -3.6 0.00034250798 0.00034031278 0.00034445894 
-3.6 -3.5 0.00056346209 0.00056232753 0.00056551508 
-3.5 -3.4 0.00088052051 0.00087906717 0.00088434253 
-3.4 -3.3 0.0013143019 0.0013092847 0.0013175288 
-3.3 -3.2 0.0018545317 0.0018504867 0.0018621637 
-3.2 -3.1 0.002540931 0.0025324058 0.0025508731 
-3.1 -3.0 0.0033740007 0.0033640743 0.0033857702 
-3.0 -2.9 0.0043477456 0.0043322836 0.0043627988 
-2.9 -2.8 0.0054612262 0.0054433515 0.0054805136 
-2.8 -2.7 0.0067152827 0.0066960495 0.0067470959 
-2.7 -2.6 0.0081039382 0.0080751566 0.008134524 
-2.6 -2.5 0.0096553842 0.0096251954 0.0096963906 
-2.5 -2.4 0.011259497 0.011220276 0.01131115 
-2.4 -2.3 0.013021995 0.012981888 0.013079437 
-2.3 -2.2 0.014795016 0.014741191 0.014857972 
-2.2 -2.1 0.016637592 0.016580256 0.016703689 
-2.1 -2.0 0.01855387 0.018499769 0.018620518 
-2.0 -1.9 0.020455641 0.020391735 0.020539596 
-1.9 -1.8 0.022354702 0.022296153 0.02244413 
