# create_lambda_band.py -l 1.0 -nnlo
# NNLO cross-section {center, min, max}
0.0084094944 0.0083866754 0.008427812 


# NNLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 2.5478754e-05 2.5375655e-05 2.5566731e-05 
30.0 60.0 5.7273445e-05 5.7086842e-05 5.7445206e-05 
60.0 90.0 5.8761239e-05 5.8592502e-05 5.8898396e-05 
90.0 120.0 4.5631386e-05 4.5518854e-05 4.5721516e-05 
120.0 150.0 3.1310693e-05 3.1238658e-05 3.1360047e-05 
150.0 180.0 2.0347325e-05 2.0304415e-05 2.0376898e-05 
180.0 210.0 1.312465e-05 1.3100045e-05 1.3141274e-05 
210.0 240.0 8.5469786e-06 8.5308577e-06 8.5543883e-06 
240.0 270.0 5.6300212e-06 5.6168421e-06 5.6356537e-06 
270.0 300.0 3.8144669e-06 3.8084889e-06 3.8185942e-06 


# NNLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 7.270962e-14 2.8909657e-14 8.3746175e-14 
-4.6 -4.5 1.7120067e-11 1.4916148e-11 2.2565514e-11 
-4.5 -4.4 5.1830656e-10 4.7130818e-10 5.2745285e-10 
-4.4 -4.3 5.7400344e-09 3.7400619e-09 6.0075177e-09 
-4.3 -4.2 2.2223118e-08 2.1962906e-08 2.5450027e-08 
-4.2 -4.1 9.476284e-08 9.4456816e-08 9.5866256e-08 
-4.1 -4.0 2.7078324e-07 2.6797509e-07 2.7457332e-07 
-4.0 -3.9 7.2533428e-07 7.2056257e-07 7.3869751e-07 
-3.9 -3.8 1.6135273e-06 1.6002651e-06 1.6352741e-06 
-3.8 -3.7 3.3015089e-06 3.2664745e-06 3.3211344e-06 
-3.7 -3.6 6.0599416e-06 6.0380849e-06 6.0936843e-06 
-3.6 -3.5 1.0844758e-05 1.0746249e-05 1.0898713e-05 
-3.5 -3.4 1.7807645e-05 1.7760759e-05 1.7918522e-05 
-3.4 -3.3 2.718398e-05 2.7075874e-05 2.7247457e-05 
-3.3 -3.2 4.2424875e-05 4.2129238e-05 4.2437933e-05 
-3.2 -3.1 5.9673412e-05 5.9621831e-05 5.9855183e-05 
-3.1 -3.0 8.3956036e-05 8.3693556e-05 8.4294633e-05 
-3.0 -2.9 0.00011560225 0.00011501896 0.00011600752 
-2.9 -2.8 0.00015367669 0.00015307689 0.00015414029 
-2.8 -2.7 0.00019765994 0.00019714101 0.00019826332 
-2.7 -2.6 0.00024883536 0.00024836535 0.0002497596 
-2.6 -2.5 0.00031404948 0.00031286574 0.00031488374 
-2.5 -2.4 0.00038280857 0.00038169234 0.00038372305 
-2.4 -2.3 0.00046191757 0.00046021133 0.00046361997 
-2.3 -2.2 0.00055044204 0.00054869588 0.00055181703 
-2.2 -2.1 0.00064587342 0.0006438881 0.00064815157 
-2.1 -2.0 0.00074474349 0.00074269105 0.00074631816 
-2.0 -1.9 0.00085531271 0.00085146957 0.00085828461 
-1.9 -1.8 0.00096882547 0.00096627767 0.000970509 
-1.8 -1.7 0.0010871185 0.0010835863 0.0010902647 
-1.7 -1.6 0.0012096743 0.001205673 0.001212462 
-1.6 -1.5 0.0013347675 0.0013317347 0.00133883 
-1.5 -1.4 0.0014590264 0.0014544742 0.0014626407 
-1.4 -1.3 0.0015843873 0.0015807091 0.0015881675 
-1.3 -1.2 0.0017071508 0.0017018782 0.0017105212 
-1.2 -1.1 0.0018276616 0.0018223586 0.0018324262 
-1.1 -1.0 0.0019458868 0.0019414925 0.0019501128 
-1.0 -0.9 0.0020540529 0.002046938 0.0020579478 
-0.9 -0.8 0.002158019 0.0021520244 0.0021621561 
-0.8 -0.7 0.0022530289 0.0022486971 0.002258238 
-0.7 -0.6 0.0023359423 0.0023298387 0.0023399716 
-0.6 -0.5 0.0024130073 0.0024058344 0.0024185391 
-0.5 -0.4 0.002477697 0.0024718411 0.0024823554 
-0.4 -0.3 0.0025378208 0.0025324157 0.0025423313 
-0.3 -0.2 0.0025664834 0.0025603287 0.0025706927 
-0.2 -0.1 0.0025889152 0.002581324 0.0025937945 
-0.1 0.0 0.0026128247 0.0026068228 0.0026182213 
0.0 0.1 0.0026080592 0.002601005 0.0026128365 
