#  ./merge-energies.sh
# {sqrts, center, min, max}
# LO cross-section
7 0.00033443273 0.00029950265 0.00037768774
10 0.00090039325 0.00082116795 0.00099578984
14 0.0020787545 0.0019272195 0.0022556267
20 0.0046403726 0.004375264 0.0049384431
30 0.010652938 0.010231372 0.011096979
50 0.027491901 0.027013792 0.027921356
70 0.048970572 0.048764402 0.048970572
100 0.087103713 0.08547062 0.088126259


# NLO cross-section
7 0.00034003541 0.00033411899 0.00034553354
10 0.00090356633 0.00089219225 0.00091565499
14 0.0020649011 0.0020472227 0.0020870772
20 0.0045713905 0.0045495351 0.0046077583
30 0.010412347 0.010378765 0.010459522
50 0.026700239 0.026549579 0.026796118
70 0.047336105 0.046976792 0.047646485
100 0.084025776 0.08316585 0.084807024


# NNLO cross-section
7 0.0003394667 0.00033869635 0.00034003649
10 0.00090068425 0.00089856171 0.00090191707
14 0.002055526 0.0020506461 0.0020577467
20 0.0045443896 0.0045333054 0.0045508003
30 0.010335736 0.010310086 0.010354351
50 0.026450321 0.026374087 0.026514817
70 0.046834129 0.046709924 0.046998981
100 0.082999636 0.082730593 0.08333962


# N3LO cross-section
7 0.00033943956 0.00033925325 0.00033946365
10 0.00090051354 0.0009000783 0.00090068372
14 0.0020549031 0.0020540508 0.0020555369
20 0.004542431 0.0045406197 0.0045446788
30 0.010329785 0.010325859 0.010336914
50 0.026423625 0.026417385 0.026447099
70 0.046789925 0.046769854 0.046832627
100 0.082901261 0.08286603 0.082998002


