# create_bands_n3lo.py -sqrts 50
# LO cross-section {center, min, max}
0.027491901 0.027013792 0.027921356 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 7.4991573e-05 7.436989e-05 7.4991573e-05 
30.0 60.0 0.00017332037 0.0001722909 0.00017332037 
60.0 90.0 0.00018548844 0.00018319717 0.00018726468 
90.0 120.0 0.0001487385 0.00014603481 0.00015115586 
120.0 150.0 0.00010593848 0.00010356668 0.00010831288 
150.0 180.0 7.1002017e-05 6.8857751e-05 7.2960344e-05 
180.0 210.0 4.6772424e-05 4.5453021e-05 4.8249269e-05 
210.0 240.0 3.1079675e-05 3.0193118e-05 3.2355308e-05 
240.0 270.0 2.1087445e-05 2.0441625e-05 2.1956344e-05 
270.0 300.0 1.4707767e-05 1.4089457e-05 1.5260314e-05 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 3.4606486e-11 -2.8061063e-09 9.7140681e-10 
-4.9 -4.8 8.0690972e-08 2.3670425e-09 8.0690972e-08 
-4.8 -4.7 1.1335375e-07 2.2775826e-08 4.2086201e-07 
-4.7 -4.6 6.6201085e-07 3.5094937e-07 6.6201085e-07 
-4.6 -4.5 1.8829862e-06 7.9717371e-08 2.0176035e-06 
-4.5 -4.4 2.8525605e-06 2.0387768e-06 2.8550784e-06 
-4.4 -4.3 -1.0872415e-07 -1.0872415e-07 7.7355976e-06 
-4.3 -4.2 1.441302e-05 4.6262876e-06 1.441302e-05 
-4.2 -4.1 1.2706598e-05 1.1915907e-05 1.5313125e-05 
-4.1 -4.0 2.7753284e-05 2.4502278e-05 3.6337265e-05 
-4.0 -3.9 4.9892676e-05 4.7230947e-05 5.1418907e-05 
-3.9 -3.8 7.1453963e-05 6.9216594e-05 7.5054906e-05 
-3.8 -3.7 0.00011150155 0.00010641027 0.00011550484 
-3.7 -3.6 0.00014570261 0.00013693553 0.0001464032 
-3.6 -3.5 0.00020583262 0.00020177057 0.00021055194 
-3.5 -3.4 0.00027212964 0.00026372387 0.00027212964 
-3.4 -3.3 0.00033968116 0.00033470463 0.00034449996 
-3.3 -3.2 0.00045893176 0.00045774267 0.00046298737 
-3.2 -3.1 0.00056754007 0.00056754007 0.00057974918 
-3.1 -3.0 0.00071796247 0.00069391284 0.00071796247 
-3.0 -2.9 0.00087443584 0.00085675254 0.00089052466 
-2.9 -2.8 0.0010280661 0.0010216314 0.0010345189 
-2.8 -2.7 0.0012326053 0.0012265643 0.001269737 
-2.7 -2.6 0.0014736336 0.0014380898 0.0015109192 
-2.6 -2.5 0.0016952562 0.0016771948 0.0017187841 
-2.5 -2.4 0.0019620453 0.0019205672 0.0019620453 
-2.4 -2.3 0.0021614944 0.0021470353 0.0022170507 
-2.3 -2.2 0.0024450481 0.0024191615 0.002481988 
-2.2 -2.1 0.0027611332 0.00273418 0.0027983906 
-2.1 -2.0 0.0030551659 0.0030249224 0.0030754093 
-2.0 -1.9 0.0033436873 0.0032864947 0.0033618439 
-1.9 -1.8 0.0036772594 0.003625144 0.0037340565 
-1.8 -1.7 0.0040047198 0.003916247 0.0040234229 
-1.7 -1.6 0.0043055461 0.0042522713 0.0043652668 
-1.6 -1.5 0.0045515862 0.0044892196 0.004592231 
-1.5 -1.4 0.0048381688 0.0047637506 0.004890696 
-1.4 -1.3 0.0051690198 0.0050592463 0.0052227585 
-1.3 -1.2 0.0054013268 0.0052792282 0.005528111 
-1.2 -1.1 0.0056540118 0.0056140659 0.005750657 
-1.1 -1.0 0.0059649112 0.0058444442 0.0060116399 
-1.0 -0.9 0.0060719568 0.0059971772 0.0062125884 
-0.9 -0.8 0.0063925946 0.0062555422 0.0064713155 
-0.8 -0.7 0.0066175851 0.0065070413 0.0066926763 
-0.7 -0.6 0.0067439422 0.0065925996 0.0068385244 
-0.6 -0.5 0.0068941625 0.0067930519 0.0070305442 
-0.5 -0.4 0.0070157804 0.0068341943 0.0071442939 
-0.4 -0.3 0.0071756132 0.0070242699 0.0072911607 
-0.3 -0.2 0.0072185312 0.0071158791 0.0074054074 
-0.2 -0.1 0.0072865481 0.0071389159 0.0074274312 
-0.1 0.0 0.0072430343 0.0070659439 0.0074013543 
0.0 0.1 0.0073256605 0.0071971283 0.0074300878 
0.1 0.2 0.007326768 0.0071268109 0.0074311499 
0.2 0.3 0.0071925123 0.0070991467 0.0073721962 
0.3 0.4 0.0072232619 0.0070508337 0.0073602736 
0.4 0.5 0.0070534908 0.0069381982 0.0072178949 
0.5 0.6 0.0069780288 0.0068206661 0.0070487128 
0.6 0.7 0.006746359 0.0066215776 0.0069136514 
0.7 0.8 0.0066578139 0.0065526864 0.006731874 
0.8 0.9 0.0063496776 0.006285242 0.006495191 
0.9 1.0 0.0061872496 0.006026903 0.006258172 
1.0 1.1 0.0059440582 0.0058116761 0.0060490375 
1.1 1.2 0.0056898889 0.0056152902 0.0057373404 
1.2 1.3 0.0054406936 0.0053308791 0.00554231 
1.3 1.4 0.005135547 0.0050590707 0.0052087455 
1.4 1.5 0.0048242295 0.0047370508 0.0049217746 
1.5 1.6 0.004576813 0.0045087654 0.004626341 
1.6 1.7 0.0041958757 0.0041727743 0.004293249 
1.7 1.8 0.0039570612 0.0038789923 0.0039956729 
1.8 1.9 0.0036920228 0.0036116691 0.0037270371 
1.9 2.0 0.0033774607 0.0033563465 0.0034171466 
2.0 2.1 0.0030447973 0.0030013466 0.0030995777 
2.1 2.2 0.0027396063 0.0026995607 0.0027819464 
2.2 2.3 0.0024767297 0.0024366835 0.00256066 
2.3 2.4 0.0022069055 0.0021679673 0.0022109189 
2.4 2.5 0.0019713254 0.0019478402 0.0019713254 
2.5 2.6 0.0016824879 0.0016824879 0.0017349635 
2.6 2.7 0.0014858943 0.0014381095 0.0014874114 
2.7 2.8 0.0012578827 0.0012524835 0.0012644659 
2.8 2.9 0.0010553309 0.0010274056 0.0010762616 
2.9 3.0 0.00087498222 0.00086435284 0.00087498222 
3.0 3.1 0.0007112428 0.00070190578 0.00072789189 
3.1 3.2 0.00059242886 0.0005751398 0.00059242886 
3.2 3.3 0.00043759044 0.00043655329 0.00045228054 
3.3 3.4 0.00034807441 0.00034364268 0.00036246839 
3.4 3.5 0.00026258735 0.00024963164 0.00026930098 
3.5 3.6 0.00019718148 0.00019718148 0.00020236361 
3.6 3.7 0.00015055279 0.00013694347 0.00015514816 
3.7 3.8 0.00010358648 0.00010358648 0.00010851829 
3.8 3.9 7.2063707e-05 7.0972092e-05 8.0274811e-05 
3.9 4.0 4.7292463e-05 4.1344719e-05 4.7292463e-05 
4.0 4.1 2.6393578e-05 2.6393578e-05 2.8815101e-05 
4.1 4.2 1.9864739e-05 1.489531e-05 1.9864739e-05 
4.2 4.3 1.0867531e-05 1.0867531e-05 1.464566e-05 
4.3 4.4 4.4614507e-06 4.4614507e-06 6.4969622e-06 
4.4 4.5 2.1292746e-06 1.8782622e-06 2.1292746e-06 
4.5 4.6 8.4100191e-07 7.1517987e-07 1.7001679e-06 
4.6 4.7 5.9558763e-07 3.2917456e-07 5.9558763e-07 
